# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.917096 19.606743 41.116625 1.958548 0.216185 1.775504 -nan -nan -nan
1025 10 5.801015 35.235869 87.593442 1.958548 3.287033 3.290569 1.741803 0.001491 -nan
2049 10 6.041463 35.325833 89.787327 1.958548 3.263633 3.276120 1.999884 0.000738 0.630321
3073 10 5.830866 35.255498 87.853519 1.958548 3.282762 3.269441 2.199577 0.000445 0.589708
4097 10 6.061500 36.888746 91.570650 1.958548 3.439516 3.418562 2.319578 0.000328 0.528908
5121 10 9.788037 57.968029 146.012107 1.958548 5.347971 5.347731 2.061858 0.000517 0.653780
6145 10 9.988819 59.110157 149.168192 1.958548 5.475556 5.459049 2.022729 0.000540 0.589136
7169 10 10.219044 60.532808 152.584355 1.958548 5.599324 5.587042 2.073266 0.000515 0.546044
8193 10 10.409194 61.765309 155.549881 1.958548 5.717549 5.700587 2.164867 0.000477 0.535132
9217 10 10.499567 62.305909 156.852308 1.958548 5.761849 5.738481 2.281944 0.000434 0.550945
10241 10 10.619791 62.977364 158.665483 1.958548 5.829730 5.818630 2.406064 0.000394 0.576660
11265 10 10.670089 63.257887 159.497237 1.958548 5.866261 5.835305 2.534045 0.000356 0.607872
12289 10 10.820164 63.989045 161.530823 1.958548 5.925464 5.906548 2.655426 0.000324 0.634322
13313 10 10.880276 64.310052 162.242353 1.958548 5.937732 5.928812 2.773257 0.000295 0.659247
14337 10 10.970649 65.041210 164.005639 1.958548 6.033239 6.001146 2.881261 0.000271 0.677590
15361 10 11.020538 65.381845 164.646834 1.958548 6.049051 6.027863 2.984311 0.000249 0.693955
16385 10 11.160799 66.153487 166.690643 1.958548 6.120295 6.111374 3.078229 0.000231 0.705291
17409 10 11.220911 66.423787 167.432025 1.958548 6.135879 6.122506 3.168472 0.000214 0.715937
18433 10 11.311284 67.195020 169.005160 1.958548 6.210258 6.202655 3.249977 0.000200 0.722294
19457 10 11.411470 67.425654 170.096991 1.958548 6.220254 6.228281 3.329196 0.000187 0.728940
20481 10 11.521471 68.137184 171.940426 1.958548 6.302857 6.280578 3.401388 0.000176 0.732616
21505 10 11.621658 68.397260 173.072332 1.958548 6.317306 6.312883 3.471326 0.000166 0.736454
