name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:10.538, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:11.550, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:12.555, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 61.69 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:13.559, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 60.50 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:14.564, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:15.568, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:16.575, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.63 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:17.580, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:18.586, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:19.590, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:20.596, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:21.603, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:22.608, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:23.612, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:24.617, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:25.622, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:26.627, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:27.631, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:28.636, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:29.641, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:30.645, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:31.653, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:32.659, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:33.664, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:34.669, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:35.673, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:36.678, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:37.683, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:38.687, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.63 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:39.692, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:40.697, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:41.701, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:42.706, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:43.711, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:44.716, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:45.721, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:46.725, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:47.730, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:48.737, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:49.741, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.36 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:50.746, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 58.76 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:51.751, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:52.756, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:53.761, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:54.766, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:55.771, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 58.76 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:56.775, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
NVIDIA A100-SXM4-40GB, 2024/07/02 16:05:57.780, GPU-13ce1180-3c7d-81ff-6f49-21a033f4e540, 0 %, 40960 MiB, 0 %, 59.03 W
