# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1048576 10 277.519875 1331.084637 4862.683435 138.759937 93.182805 113.057071 -nan -nan -nan
2097152 10 482.081781 2422.210663 8562.138986 138.759937 174.661462 215.628524 18.555627 0.000094 -nan
3145728 10 681.311802 3545.427035 12228.528092 138.759937 261.056328 319.146517 15.783610 0.000096 1.697507
4194304 10 884.405274 4672.824922 16012.710992 138.759937 354.314947 420.417939 14.379931 0.000097 1.619553
5242880 10 1088.372949 5790.161841 19895.379008 138.759937 457.107916 521.902120 14.020197 0.000097 1.362526
6291456 10 1290.914091 6907.925388 23749.897264 138.759937 559.071438 623.264129 13.872564 0.000097 1.189836
7340032 10 1511.659252 8023.174882 27839.674568 138.759937 657.846157 727.359659 14.464337 0.000097 1.261824
8388608 10 1715.030793 9143.659128 31707.108764 138.759937 759.906918 827.866503 14.628770 0.000097 1.169997
9437184 10 1921.236355 10255.420375 35601.611868 138.759937 860.409413 931.200370 14.886800 0.000097 1.137181
10485760 10 2125.959199 11370.538454 39498.257631 138.759937 963.538805 1030.577198 15.063761 0.000097 1.093429
11534336 10 2330.886785 12496.165077 43373.660609 138.759937 1063.978025 1133.660543 14.981641 0.000097 1.038363
12582912 10 2540.544407 13613.537231 47314.211807 138.759937 1164.035323 1235.430739 15.002390 0.000097 0.985632
13631488 10 2777.680423 14733.087278 51642.487381 138.759937 1262.902361 1336.829113 15.514176 0.000096 1.269962
14680064 10 2984.452599 15846.964519 55558.528956 138.759937 1364.885140 1438.565840 15.913949 0.000096 1.401137
15728640 10 3190.651496 16970.700843 59454.159575 138.759937 1465.523654 1541.006737 16.077339 0.000096 1.378321
16777216 10 3367.635970 18087.889204 62961.569197 138.759937 1570.094182 1642.406057 15.768183 0.000096 1.449622
17825792 10 3575.535660 19205.517525 66886.190449 138.759937 1671.213709 1744.559536 15.548026 0.000096 1.464382
18874368 10 3792.639256 20322.410676 70937.233265 138.759937 1771.551562 1847.262085 15.515970 0.000096 1.419340
19922944 10 3978.362439 21438.882914 74581.683461 138.759937 1877.269788 1948.620579 15.254377 0.000097 1.479381
