heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 277543.195035 us
chunk gap | chunk1 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 8828.225532 us
chunk gap | chunk2 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 17674.690780 us
chunk gap | chunk3 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 26493.899291 us
chunk gap | chunk4 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 35270.231206 us
chunk gap | chunk5 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 44142.334752 us
chunk gap | chunk6 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 52971.285816 us
chunk gap | chunk7 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 61825.781560 us
chunk gap | chunk8 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 70596.738298 us
chunk gap | chunk9 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 79408.710638 us
chunk gap | chunk10 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 88223.719149 us
chunk gap | chunk11 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 97040.821277 us
chunk gap | chunk12 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 105825.719858 us
chunk gap | chunk13 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 114621.139007 us
chunk gap | chunk14 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 123462.885106 us
chunk gap | chunk15 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 132263.935461 us
chunk gap | chunk16 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 142558.852482 us
chunk gap | chunk17 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 151697.273050 us
chunk gap | chunk18 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 160723.058865 us
chunk gap | chunk19 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 169721.948936 us
chunk gap | chunk20 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 178668.152482 us
chunk gap | chunk21 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 187645.046099 us
chunk gap | chunk22 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 196676.574468 us
chunk gap | chunk23 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 205697.270922 us
chunk gap | chunk24 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 214624.672340 us
chunk gap | chunk25 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 223651.548227 us
chunk gap | chunk26 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 232599.326950 us
chunk gap | chunk27 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 241587.819858 us
chunk gap | chunk28 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 250527.246099 us
chunk gap | chunk29 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 259567.726950 us
chunk gap | chunk30 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 268528.745390 us
chunk gap | chunk31 -> chunk0 | heo(intra)_mode(pping)_nchannels(2)_chunk size(2)_message size(524288)_n(32)_d(0)_iteration(0): 277531.246099 us
[MPI Rank 1] Success 
