# nThread 1 nGpus 1 minBytes 33554432 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1361349 on     node03 device  0 [0x2a] NVIDIA A30
#  Rank  1 Group  0 Pid 1627134 on     node04 device  0 [0x2a] NVIDIA A30
node03:1361349:1361349 [0] NCCL INFO Bootstrap : Using ib0:10.3.1.3<0>
node03:1361349:1361349 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
node03:1361349:1361349 [0] NCCL INFO cudaDriverVersion 11060
NCCL version 2.14.3+cuda11.6
node03:1361349:1361385 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [RO]; OOB ib0:10.3.1.3<0>
node03:1361349:1361385 [0] NCCL INFO Using network IB
node03:1361349:1361385 [0] NCCL INFO Setting affinity for GPU 0 to 03ffff
node03:1361349:1361385 [0] NCCL INFO Channel 00/04 :    0   1
node03:1361349:1361385 [0] NCCL INFO Channel 01/04 :    0   1
node03:1361349:1361385 [0] NCCL INFO Channel 02/04 :    0   1
node03:1361349:1361385 [0] NCCL INFO Channel 03/04 :    0   1
node03:1361349:1361385 [0] NCCL INFO Trees [0] 1/-1/-1->0->-1 [1] 1/-1/-1->0->-1 [2] -1/-1/-1->0->1 [3] -1/-1/-1->0->1
node03:1361349:1361385 [0] NCCL INFO Channel 00/0 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 01/0 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 02/0 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 03/0 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 00/0 : 0[2a000] -> 1[2a000] [send] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 01/0 : 0[2a000] -> 1[2a000] [send] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 02/0 : 0[2a000] -> 1[2a000] [send] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Channel 03/0 : 0[2a000] -> 1[2a000] [send] via NET/IB/0
node03:1361349:1361385 [0] NCCL INFO Connected all rings
node03:1361349:1361385 [0] NCCL INFO Connected all trees
node03:1361349:1361385 [0] NCCL INFO threadThresholds 8/8/64 | 16/8/64 | 512 | 512
node03:1361349:1361385 [0] NCCL INFO 4 coll channels, 4 p2p channels, 2 p2p channels per peer
node03:1361349:1361385 [0] NCCL INFO comm 0x5326120 rank 0 nranks 2 cudaDev 0 busId 2a000 - Init COMPLETE
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw #wrong     time   algbw   busbw #wrong
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
node03:1361349:1361390 [0] NCCL INFO Channel 02/1 : 0[2a000] -> 1[2a000] [send] via NET/IB/0/Shared
node03:1361349:1361390 [0] NCCL INFO Channel 03/1 : 0[2a000] -> 1[2a000] [send] via NET/IB/0/Shared
node03:1361349:1361391 [0] NCCL INFO Channel 02/1 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0/Shared
node03:1361349:1361391 [0] NCCL INFO Channel 03/1 : 1[2a000] -> 0[2a000] [receive] via NET/IB/0/Shared
    33554432       8388608     float     sum      -1   3692.7    9.09    9.09  1.67772e+07   3669.1    9.15    9.15    N/A
node03:1361349:1361349 [0] NCCL INFO comm 0x5326120 rank 0 nranks 2 cudaDev 0 busId 2a000 - Destroy COMPLETE
DEVICE | sendrecv.h | runrecv - runsend | iteration 0 | time: 1197.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 1 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 1 | time: 1197.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 2 | time: 13.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 2 | time: 1197.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 3 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 3 | time: 1199.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 4 | time: 7.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 4 | time: 1201.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 5 | time: 9.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 5 | time: 1200.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 6 | time: 12.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 6 | time: 1196.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 7 | time: 6.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 7 | time: 1199.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 8 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 8 | time: 1200.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 9 | time: 9.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 9 | time: 1199.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 10 | time: 9.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 10 | time: 1198.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 11 | time: 13.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 11 | time: 1194.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 12 | time: 6.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 12 | time: 1197.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 13 | time: 9.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 13 | time: 1195.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 14 | time: 12.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 14 | time: 1192.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 15 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 15 | time: 1191.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 16 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 16 | time: 1193.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 17 | time: 11.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 17 | time: 1191.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 18 | time: 9.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 18 | time: 1191.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 19 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 19 | time: 1192.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 0 | time: 1192.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 1 | time: 9.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 1 | time: 1192.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 2 | time: 7.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 2 | time: 1192.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 3 | time: 13.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 3 | time: 1187.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 4 | time: 6.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 4 | time: 1190.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 5 | time: 8.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 5 | time: 1189.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 6 | time: 9.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 6 | time: 1189.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 7 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 7 | time: 1190.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 8 | time: 9.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 8 | time: 1189.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 9 | time: 11.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 9 | time: 1185.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 10 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 10 | time: 1188.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 11 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 11 | time: 1188.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 12 | time: 10.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 12 | time: 1186.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 13 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 13 | time: 1186.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 14 | time: 7.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 14 | time: 1188.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 15 | time: 12.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 15 | time: 1184.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 16 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 16 | time: 1185.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 17 | time: 7.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 17 | time: 1186.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 18 | time: 10.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 18 | time: 1185.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 19 | time: 9.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 19 | time: 1184.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 0 | time: 1183.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 1 | time: 10.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 1 | time: 1180.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 2 | time: 6.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 2 | time: 1182.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 3 | time: 7.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 3 | time: 1185.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 4 | time: 9.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 4 | time: 1184.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 5 | time: 10.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 5 | time: 1183.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 6 | time: 8.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 6 | time: 1183.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 7 | time: 8.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 7 | time: 1183.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 8 | time: 12.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 8 | time: 1180.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 9 | time: 7.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 9 | time: 1181.000000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 10 | time: 8.500000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 10 | time: 1180.500000 us
DEVICE | sendrecv.h | runsend1 - runsend0 | iteration 11 | time: 11.000000 us
DEVICE | sendrecv.h | runrecv - runsend | iteration 11 | time: 1178.000000 us
