node04:1627022:1627022 [0] NCCL INFO cudaDriverVersion 11060
node04:1627022:1627022 [0] NCCL INFO Bootstrap : Using ib0:10.3.1.4<0>
node04:1627022:1627022 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
node04:1627022:1627046 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [RO]; OOB ib0:10.3.1.4<0>
node04:1627022:1627046 [0] NCCL INFO Using network IB
node04:1627022:1627046 [0] NCCL INFO Setting affinity for GPU 0 to 03ffff
node04:1627022:1627046 [0] NCCL INFO Trees [0] -1/-1/-1->1->0 [1] -1/-1/-1->1->0 [2] 0/-1/-1->1->-1 [3] 0/-1/-1->1->-1
node04:1627022:1627046 [0] NCCL INFO Channel 00/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 01/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 02/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 03/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 00/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 01/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 02/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Channel 03/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627022:1627046 [0] NCCL INFO Connected all rings
node04:1627022:1627046 [0] NCCL INFO Connected all trees
node04:1627022:1627046 [0] NCCL INFO threadThresholds 8/8/64 | 16/8/64 | 512 | 512
node04:1627022:1627046 [0] NCCL INFO 4 coll channels, 4 p2p channels, 2 p2p channels per peer
node04:1627022:1627046 [0] NCCL INFO comm 0x1a7c310 rank 1 nranks 2 cudaDev 0 busId 2a000 - Init COMPLETE
node04:1627022:1627051 [0] NCCL INFO Channel 02/1 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0/Shared
node04:1627022:1627051 [0] NCCL INFO Channel 03/1 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0/Shared
node04:1627022:1627052 [0] NCCL INFO Channel 02/1 : 1[2a000] -> 0[2a000] [send] via NET/IB/0/Shared
node04:1627022:1627052 [0] NCCL INFO Channel 03/1 : 1[2a000] -> 0[2a000] [send] via NET/IB/0/Shared
node04:1627022:1627022 [0] NCCL INFO comm 0x1a7c310 rank 1 nranks 2 cudaDev 0 busId 2a000 - Destroy COMPLETE
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 577.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 572.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 573.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 572.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 573.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 571.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 571.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 573.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 572.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 572.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 573.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 573.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 575.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 574.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 577.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 575.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 577.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 577.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 578.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 578.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 576.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 574.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 574.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 572.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 574.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 576.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 579.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 579.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 582.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 582.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 580.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 579.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 581.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 581.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 582.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 580.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 586.500000 us
