# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 216.434900 242.806837 2289.912373 108.217450 13.951486 2.777476 -nan -nan -nan
1025 10 215.578955 1929.385991 3709.754303 108.217450 172.662751 193.132494 2.747117 0.183098 inf
2049 10 213.715720 1964.144989 3703.483050 108.217450 174.036206 197.247257 33.407288 0.093536 74.882392
3073 10 209.131301 1918.317836 3637.685510 108.217450 171.819167 193.493432 59.632467 0.055176 73.316076
4097 10 210.365105 1934.925581 3654.509747 108.217450 172.317633 194.864574 78.465390 0.036803 69.017792
5121 10 207.115720 1973.515285 3667.252708 108.217450 177.343945 195.055345 91.935533 0.026944 64.552972
6145 10 210.101506 1943.109180 3661.565783 108.217450 173.394525 195.118267 103.540882 0.020148 61.527861
7169 10 210.905333 1944.574510 3671.501364 108.217450 173.605337 193.907046 112.771052 0.015644 58.759055
8193 10 210.676813 1930.493508 3655.158221 108.217450 172.043343 194.882170 120.528431 0.012398 56.393860
9217 10 210.517451 1968.421709 3662.408699 108.217450 173.026021 194.303065 126.273136 0.010295 53.946863
10241 10 211.598909 1940.438109 3698.062731 108.217450 175.785960 196.335389 131.676734 0.008537 52.017135
11265 10 212.716449 1941.271002 3679.414348 108.217450 172.472207 195.268722 136.265584 0.007193 50.254234
12289 10 212.998089 1938.306264 3679.237948 108.217450 172.139673 194.270323 140.250513 0.006132 48.657121
13313 10 212.543055 1943.902984 3671.876216 108.217450 171.827296 195.210367 143.623879 0.005308 47.160690
14337 10 214.371210 1934.109727 3686.628745 108.217450 171.435183 194.601527 146.728178 0.004609 45.835798
15361 10 214.826244 1967.358292 3710.956035 108.217450 173.632622 195.429647 149.075839 0.004118 44.491853
16385 10 214.788157 1943.929043 3698.209064 108.217450 172.258610 195.075391 151.470369 0.003650 43.344391
17409 10 215.046745 1949.230091 3708.408244 108.217450 173.104533 195.213262 153.560113 0.003268 42.262288
18433 10 216.473989 1944.267813 3722.507287 108.217450 173.085267 195.202125 155.512371 0.002931 41.274445
19457 10 215.564923 1940.348907 3712.038495 108.217450 172.932141 195.692471 157.304377 0.002640 40.357195
20481 10 215.632075 1950.109089 3713.191114 108.217450 172.985596 195.813861 158.838372 0.002403 39.471950
21505 10 216.285561 1953.641116 3729.807880 108.217450 174.105808 196.239391 160.220280 0.002201 38.636925
22529 10 217.216677 1952.726037 3727.699087 108.217450 172.836924 195.761518 161.511398 0.002021 37.857610
23553 10 216.605287 1943.221435 3801.381548 108.217450 181.703186 195.614738 162.777123 0.001852 37.141215
24577 10 219.098955 1960.840479 3763.644782 108.217450 174.739471 196.513464 163.822510 0.001719 36.435527
25601 10 218.289114 1958.717654 3747.715579 108.217450 173.869382 195.817647 164.810607 0.001598 35.772451
26625 10 219.245287 1953.606037 3754.494987 108.217450 173.560235 197.052254 165.780341 0.001485 35.154992
27649 10 218.352258 1955.778975 3743.406787 108.217450 173.320468 196.860036 166.663209 0.001385 34.563829
