┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:27:49│35.2G 43.5G  170G  214G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 
Jul-08 11:27:50│35.2G 43.5G  170G  214G│  0   0 100   0   0│  53k   44k┊ 183k  183k┊  83k   84k
Jul-08 11:27:51│35.2G 43.5G  170G  214G│  0   0 100   0   0│  40k   49k┊   0     0 ┊  42k   53k
Jul-08 11:27:52│35.2G 43.5G  170G  214G│  0   0  99   0   0│7552b   33k┊   0     0 ┊9664b   37k
Jul-08 11:27:53│35.2G 43.5G  170G  214G│  0   0  99   0   0│7552b   45k┊   0     0 ┊  10k   49k
Jul-08 11:27:54│35.2G 43.5G  170G  214G│  0   0 100   0   0│7552b   57k┊   0     0 ┊  10k   62k
Jul-08 11:27:55│35.2G 43.5G  170G  214G│  1   1  98   0   0│  23k   98k┊   0     0 ┊  25k  102k
Jul-08 11:27:56│35.2G 43.5G  170G  214G│  1   1  98   0   0│  11k   83k┊   0     0 ┊  13k   87k
Jul-08 11:27:57│35.2G 43.5G  170G  214G│  1   1  98   0   0│  11k   95k┊   0     0 ┊  12k   98k
Jul-08 11:27:58│35.2G 43.5G  170G  214G│  1   1  98   0   0│  11k  107k┊   0     0 ┊  12k  109k
Jul-08 11:27:59│35.2G 43.5G  170G  214G│  1   1  98   0   0│  11k  119k┊   0     0 ┊  13k  124k
Jul-08 11:28:00│35.2G 43.4G  170G  214G│  1   1  98   0   0│  19k  161k┊   0     0 ┊  21k  165k
Jul-08 11:28:01│35.2G 43.5G  170G  214G│  1   1  98   0   0│   0   480b┊   0     0 ┊1056b 2368b
Jul-08 11:28:02│36.2G 42.4G  170G  213G│  2   2  97   0   0│ 907M 1197M┊4432b 4432b┊ 907M 1197M
Jul-08 11:28:03│36.2G 42.4G  170G  213G│  2   1  97   0   0│1029M   10G┊2232b 2232b┊1029M   10G
Jul-08 11:28:04│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 443M 4253M┊   0     0 ┊ 443M 4253M
