11:27:48             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
11:27:50             ib0                 rdma                48.00               51.00               9.17                9.50
11:27:50             ib0                 ipoib               47.00               50.00               9.34                7.76
11:27:50             ib0                 all                 48.00               51.00               9.34                9.50 

11:27:51             ib0                 rdma                0                   1.00                0                   .08
11:27:51             ib0                 ipoib               0                   1.00                0                   .05
11:27:51             ib0                 all                 0                   1.00                0                   .08 

11:27:52             ib0                 rdma                0                   1.00                0                   .08
11:27:52             ib0                 ipoib               0                   1.00                0                   .05
11:27:52             ib0                 all                 0                   1.00                0                   .08 

11:27:53             ib0                 rdma                0                   1.00                0                   .08
11:27:53             ib0                 ipoib               0                   1.00                0                   .05
11:27:53             ib0                 all                 0                   1.00                0                   .08 

11:27:54             ib0                 rdma                2.00                3.00                .17                 .34
11:27:54             ib0                 ipoib               2.00                3.00                .18                 .25
11:27:54             ib0                 all                 2.00                3.00                .18                 .34 

11:27:55             ib0                 rdma                0                   1.00                0                   .08
11:27:55             ib0                 ipoib               0                   1.00                0                   .05
11:27:55             ib0                 all                 0                   1.00                0                   .08 

11:27:56             ib0                 rdma                0                   1.00                0                   .08
11:27:56             ib0                 ipoib               0                   1.00                0                   .05
11:27:56             ib0                 all                 0                   1.00                0                   .08 

11:27:57             ib0                 rdma                0                   1.00                0                   .08
11:27:57             ib0                 ipoib               0                   1.00                0                   .05
11:27:57             ib0                 all                 0                   1.00                0                   .08 

11:27:58             ib0                 rdma                0                   1.00                0                   .08
11:27:58             ib0                 ipoib               0                   1.00                0                   .05
11:27:58             ib0                 all                 0                   1.00                0                   .08 

11:27:59             ib0                 rdma                5.00                8.00                .96                 4.01
11:27:59             ib0                 ipoib               5.00                8.00                1.00                3.77
11:27:59             ib0                 all                 5.00                8.00                1.00                4.01 

11:28:01             ib0                 rdma                0                   1.00                0                   .08
11:28:01             ib0                 ipoib               0                   1.00                0                   .05
11:28:01             ib0                 all                 0                   1.00                0                   .08 

11:28:02             ib0                 rdma                65959.00            158335.00           127542.15           318376.07
11:28:02             ib0                 ipoib               65966.00            158607.00           128058.15           313973.15
11:28:02             ib0                 all                 65966.00            158607.00           128058.15           318376.07 

11:28:03             ib0                 rdma                61936.00            523601.00           106741.20           1058799.54
11:28:03             ib0                 ipoib               61930.00            523280.00           107224.47           1041799.97
11:28:03             ib0                 all                 61936.00            523601.00           107224.47           1058799.54 

11:28:04             ib0                 rdma                31857.00            271325.00           56007.78            548651.02
11:28:04             ib0                 ipoib               31862.00            271855.00           56257.13            541226.78
11:28:04             ib0                 all                 31862.00            271855.00           56257.13            548651.02 

11:28:05             ib0                 rdma                31280.00            269776.00           54936.88            545451.53
11:28:05             ib0                 ipoib               31281.00            270257.00           55181.35            537982.84
11:28:05             ib0                 all                 31281.00            270257.00           55181.35            545451.53 

11:28:06             ib0                 rdma                31494.00            269768.00           54954.82            545445.10
11:28:06             ib0                 ipoib               31494.00            269768.00           55200.86            537016.55
11:28:06             ib0                 all                 31494.00            269768.00           55200.86            545445.10 

11:28:07             ib0                 rdma                198918.00           892970.00           374610.70           1806831.37
11:28:07             ib0                 ipoib               198879.00           893555.00           376061.92           1780098.97
11:28:07             ib0                 all                 198918.00           893555.00           376061.92           1806831.37 

11:28:08             ib0                 rdma                54486.00            466441.00           94813.55            945131.07
11:28:08             ib0                 ipoib               54481.00            465801.00           95238.76            929277.23
11:28:08             ib0                 all                 54486.00            466441.00           95238.76            945131.07 

11:28:09             ib0                 rdma                36818.00            309445.00           64616.87            626854.35
11:28:09             ib0                 ipoib               36818.00            309445.00           64904.51            617186.14
11:28:09             ib0                 all                 36818.00            309445.00           64904.51            626854.35 

11:28:10             ib0                 rdma                36889.00            311472.00           64622.91            631075.99
11:28:10             ib0                 ipoib               36889.00            311472.00           64911.10            621344.21
11:28:10             ib0                 all                 36889.00            311472.00           64911.10            631075.99 

11:28:12             ib0                 rdma                35636.00            309300.00           62467.84            626660.93
11:28:12             ib0                 ipoib               35636.00            309300.00           62746.25            616997.05
11:28:12             ib0                 all                 35636.00            309300.00           62746.25            626660.93 

11:28:13             ib0                 rdma                35591.00            311485.00           62464.64            631123.75
11:28:13             ib0                 ipoib               35593.00            311485.00           62742.92            621391.53
11:28:13             ib0                 all                 35593.00            311485.00           62742.92            631123.75 

11:28:14             ib0                 rdma                36645.00            311438.00           64603.32            630936.89
11:28:14             ib0                 ipoib               36640.00            311438.00           64889.10            621206.32
11:28:14             ib0                 all                 36645.00            311438.00           64889.10            630936.89 

11:28:15             ib0                 rdma                194889.00           460519.00           381408.32           929317.30
11:28:15             ib0                 ipoib               194846.00           460656.00           382831.53           915213.99
11:28:15             ib0                 all                 194889.00           460656.00           382831.53           929317.30 

11:28:16             ib0                 rdma                130115.00           1133332.00          229457.54           2296146.85
11:28:16             ib0                 ipoib               130047.00           1133577.00          230335.37           2261222.61
11:28:16             ib0                 all                 130115.00           1133577.00          230335.37           2296146.85 

11:28:17             ib0                 rdma                53960.00            459258.00           95004.56            930539.14
11:28:17             ib0                 ipoib               53373.00            459733.00           94223.53            917149.62
11:28:17             ib0                 all                 53960.00            459733.00           95004.56            930539.14 

11:28:18             ib0                 rdma                36541.00            319673.00           64588.87            647753.82
11:28:18             ib0                 ipoib               36548.00            319813.00           64875.04            638044.12
11:28:18             ib0                 all                 36548.00            319813.00           64875.04            647753.82 

11:28:19             ib0                 rdma                37951.00            324185.00           67782.24            656869.50
11:28:19             ib0                 ipoib               37942.00            323292.00           68077.89            644960.56
11:28:19             ib0                 all                 37951.00            324185.00           68077.89            656869.50 

11:28:20             ib0                 rdma                36322.00            323662.00           64570.96            655775.83
11:28:20             ib0                 ipoib               36322.00            323317.00           64854.73            644971.62
11:28:20             ib0                 all                 36322.00            323662.00           64854.73            655775.83 

11:28:21             ib0                 rdma                36409.00            322772.00           64577.80            654030.25
11:28:21             ib0                 ipoib               36418.00            323062.00           64863.13            644517.65
11:28:21             ib0                 all                 36418.00            323062.00           64863.13            654030.25 

11:28:23             ib0                 rdma                38099.00            323889.00           67860.10            656081.76
11:28:23             ib0                 ipoib               38073.00            324353.00           68091.11            646886.59
11:28:23             ib0                 all                 38099.00            324353.00           68091.11            656081.76 

11:28:24             ib0                 rdma                36625.00            320878.00           64597.15            649959.01
11:28:24             ib0                 ipoib               36620.00            320206.00           64882.82            638589.74
11:28:24             ib0                 all                 36625.00            320878.00           64882.82            649959.01 

11:28:25             ib0                 rdma                36557.00            318317.00           64591.64            644881.60
11:28:25             ib0                 ipoib               36559.00            318320.00           64877.82            634936.67
11:28:25             ib0                 all                 36559.00            318320.00           64877.82            644881.60 

11:28:26             ib0                 rdma                36491.00            321601.00           64585.63            651573.58
11:28:26             ib0                 ipoib               36496.00            322401.00           64871.14            643125.41
11:28:26             ib0                 all                 36496.00            322401.00           64871.14            651573.58 

11:28:27             ib0                 rdma                249033.00           522088.00           490514.07           1052678.70
11:28:27             ib0                 ipoib               248986.00           522370.00           492350.23           1036940.21
11:28:27             ib0                 all                 249033.00           522370.00           492350.23           1052678.70 

11:28:28             ib0                 rdma                128683.00           1106600.00          228198.73           2243120.57
11:28:28             ib0                 ipoib               128654.00           1106254.00          229172.17           2207854.39
11:28:28             ib0                 all                 128683.00           1106600.00          229172.17           2243120.57 

11:28:29             ib0                 rdma                94892.00            814748.00           167915.45           1651428.79
11:28:29             ib0                 ipoib               94886.00            814321.00           168656.23           1625112.65
11:28:29             ib0                 all                 94892.00            814748.00           168656.23           1651428.79 

11:28:30             ib0                 rdma                34005.00            297127.00           60273.49            602233.49
11:28:30             ib0                 ipoib               34001.00            296967.00           60538.78            592630.06
11:28:30             ib0                 all                 34005.00            297127.00           60538.78            602233.49 

