name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:52.751, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:53.756, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:54.760, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:55.765, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.10 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:56.772, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:57.777, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:58.782, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:01:59.788, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:00.793, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:01.799, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:02.805, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:03.811, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:04.818, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.60 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:05.823, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.49 W
NVIDIA A100-PCIE-40GB, 2024/07/09 12:02:06.828, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.49 W
