12:01:52             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
12:01:53             ib0                 rdma                251.00              54.00               426.68              9.66
12:01:53             ib0                 ipoib               251.00              54.00               428.64              8.01
12:01:53             ib0                 all                 251.00              54.00               428.64              9.66 

12:01:54             ib0                 rdma                0                   1.00                0                   .08
12:01:54             ib0                 ipoib               0                   1.00                0                   .05
12:01:54             ib0                 all                 0                   1.00                0                   .08 

12:01:56             ib0                 rdma                0                   1.00                0                   .08
12:01:56             ib0                 ipoib               0                   1.00                0                   .05
12:01:56             ib0                 all                 0                   1.00                0                   .08 

12:01:57             ib0                 rdma                1.00                2.00                .13                 .17
12:01:57             ib0                 ipoib               1.00                2.00                .14                 .11
12:01:57             ib0                 all                 1.00                2.00                .14                 .17 

12:01:58             ib0                 rdma                13.00               14.00               1.82                2.08
12:01:58             ib0                 ipoib               13.00               14.00               1.92                1.67
12:01:58             ib0                 all                 13.00               14.00               1.92                2.08 

12:01:59             ib0                 rdma                115612.00           610315.00           209668.29           1232600.17
12:01:59             ib0                 ipoib               115616.00           610470.00           210571.88           1213840.14
12:01:59             ib0                 all                 115616.00           610470.00           210571.88           1232600.17 

12:02:00             ib0                 rdma                6429.00             58378.00            10797.21            118063.04
12:02:00             ib0                 ipoib               6427.00             58218.00            10847.25            115919.05
12:02:00             ib0                 all                 6429.00             58378.00            10847.25            118063.04 

12:02:01             ib0                 rdma                6347.00             58165.00            10790.13            117643.24
12:02:01             ib0                 ipoib               6347.00             58165.00            10839.71            115825.87
12:02:01             ib0                 all                 6347.00             58165.00            10839.71            117643.24 

12:02:02             ib0                 rdma                6349.00             58692.00            10790.34            118712.57
12:02:02             ib0                 ipoib               6349.00             58692.00            10839.94            116878.73
12:02:02             ib0                 all                 6349.00             58692.00            10839.94            118712.57 

12:02:03             ib0                 rdma                6309.00             58690.00            10786.90            118712.39
12:02:03             ib0                 ipoib               6309.00             58690.00            10836.19            116878.61
12:02:03             ib0                 all                 6309.00             58690.00            10836.19            118712.39 

12:02:04             ib0                 rdma                6851.00             59218.00            11857.56            119781.85
12:02:04             ib0                 ipoib               6851.00             59218.00            11911.08            117931.56
12:02:04             ib0                 all                 6851.00             59218.00            11911.08            119781.85 

12:02:05             ib0                 rdma                6319.00             58161.00            10787.72            117642.89
12:02:05             ib0                 ipoib               6320.00             58642.00            10837.18            116785.73
12:02:05             ib0                 all                 6320.00             58642.00            10837.18            117642.89 

12:02:07             ib0                 rdma                6318.00             58166.00            10787.64            117643.32
12:02:07             ib0                 ipoib               6318.00             58166.00            10837.00            115825.93
12:02:07             ib0                 all                 6318.00             58166.00            10837.00            117643.32 

12:02:08             ib0                 rdma                6382.00             58534.00            10793.38            118387.89
12:02:08             ib0                 ipoib               6378.00             58214.00            10842.87            115918.98
12:02:08             ib0                 all                 6382.00             58534.00            10842.87            118387.89 

12:02:09             ib0                 rdma                6337.00             58678.00            10789.31            118711.36
12:02:09             ib0                 ipoib               6337.00             58678.00            10838.82            116877.91
12:02:09             ib0                 all                 6337.00             58678.00            10838.82            118711.36 

12:02:10             ib0                 rdma                6314.00             58181.00            10787.57            117644.61
12:02:10             ib0                 ipoib               6314.00             58181.00            10836.90            115826.81
12:02:10             ib0                 all                 6314.00             58181.00            10836.90            117644.61 

12:02:11             ib0                 rdma                6820.00             59251.00            11855.41            119784.68
12:02:11             ib0                 ipoib               6820.00             59251.00            11908.69            117933.50
