┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 15:42:42│35.2G 43.5G  170G  214G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 
Jul-08 15:42:43│35.4G 43.2G  170G  214G│  0   1  98   0   0│ 141M  451k┊ 200k  200k┊ 141M  493k
Jul-08 15:42:44│35.4G 43.2G  170G  214G│  0   2  98   0   0│  14k   26k┊   0     0 ┊  18k   36k
Jul-08 15:42:45│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   33k┊   0     0 ┊9136b   36k
Jul-08 15:42:46│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   45k┊   0     0 ┊  10k   55k
Jul-08 15:42:47│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   57k┊   0     0 ┊9136b   60k
Jul-08 15:42:48│35.4G 43.2G  170G  214G│  0   2  98   0   0│  23k   99k┊   0     0 ┊  26k  105k
Jul-08 15:42:49│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   83k┊   0     0 ┊  13k   87k
Jul-08 15:42:50│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   95k┊   0     0 ┊  12k   98k
Jul-08 15:42:51│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  107k┊   0     0 ┊  12k  110k
Jul-08 15:42:52│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  119k┊   0     0 ┊  13k  125k
Jul-08 15:42:53│35.4G 43.2G  170G  214G│  0   2  98   0   0│  19k  162k┊   0     0 ┊  20k  165k
Jul-08 15:42:54│35.4G 43.2G  170G  214G│  0   2  98   0   0│   0     0 ┊   0     0 ┊2112b 4544b
Jul-08 15:42:55│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   78k┊   0     0 ┊  11k   80k
Jul-08 15:42:56│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   22k┊   0     0 ┊  24k 2224k
Jul-08 15:42:57│35.4G 43.2G  170G  214G│  1   3  96   0   0│  25k   51k┊   0     0 ┊  34k   65k
Jul-08 15:42:58│35.4G 43.2G  170G  214G│  1   2  98   0   0│  16k   87k┊   0     0 ┊  18k   91k
Jul-08 15:42:59│35.4G 43.2G  170G  214G│  1   2  98   0   0│7552b   58k┊   0     0 ┊9664b   62k
Jul-08 15:43:00│35.4G 43.2G  170G  214G│  0   2  98   0   0│9856b   72k┊   0     0 ┊  12k   78k
Jul-08 15:43:01│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   85k┊   0     0 ┊  12k   88k
Jul-08 15:43:02│35.4G 43.2G  170G  214G│  0   2  97   0   0│  11k   97k┊   0     0 ┊  13k  102k
Jul-08 15:43:03│35.4G 43.2G  170G  214G│  0   2  98   0   0│  20k  157k┊   0     0 ┊  22k  161k
Jul-08 15:43:04│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  121k┊   0     0 ┊  13k  126k
Jul-08 15:43:05│35.4G 43.2G  170G  214G│  0   2  98   0   0│   0     0 ┊   0     0 ┊1584b 2832b
Jul-08 15:43:06│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  134k┊   0     0 ┊  13k  138k
Jul-08 15:43:07│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   80k┊   0     0 ┊  11k   84k
Jul-08 15:43:08│35.4G 43.2G  170G  214G│  0   2  98   0   0│  16k   83k┊   0     0 ┊  18k   88k
Jul-08 15:43:09│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   36k┊   0     0 ┊9664b   40k
Jul-08 15:43:10│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   49k┊   0     0 ┊  10k   54k
Jul-08 15:43:11│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   61k┊   0     0 ┊9136b   64k
Jul-08 15:43:12│35.4G 43.2G  170G  214G│  1   3  97   0   0│  28k   91k┊   0     0 ┊  38k  107k
Jul-08 15:43:13│35.4G 43.2G  170G  214G│  0   2  97   0   0│  23k  158k┊   0     0 ┊  26k  163k
Jul-08 15:43:14│35.4G 43.2G  170G  214G│  0   2  98   0   0│  14k  102k┊   0     0 ┊  17k  108k
Jul-08 15:43:15│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  111k┊   0     0 ┊  12k  114k
Jul-08 15:43:16│35.4G 43.2G  170G  214G│  0   2  98   0   0│   0     0 ┊   0     0 ┊2640b 5104b
Jul-08 15:43:17│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  123k┊   0     0 ┊  13k  127k
Jul-08 15:43:18│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  136k┊   0     0 ┊  14k  144k
Jul-08 15:43:19│35.4G 43.2G  170G  214G│  0   2  98   0   0│  17k  125k┊   0     0 ┊  19k  129k
Jul-08 15:43:20│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   26k┊   0     0 ┊  10k   32k
Jul-08 15:43:21│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   38k┊   0     0 ┊8608b   40k
Jul-08 15:43:22│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   51k┊   0     0 ┊  11k   57k
Jul-08 15:43:23│35.4G 43.2G  170G  214G│  0   2  97   0   0│7552b   63k┊   0     0 ┊8608b   65k
Jul-08 15:43:24│35.4G 43.2G  170G  214G│  0   2  98   0   0│  18k   97k┊   0     0 ┊  21k  102k
Jul-08 15:43:25│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   89k┊   0     0 ┊  13k   93k
Jul-08 15:43:26│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  101k┊   0     0 ┊  27k 2304k
Jul-08 15:43:27│35.4G 43.2G  170G  214G│  1   3  97   0   0│  22k   21k┊   0     0 ┊  31k   33k
Jul-08 15:43:28│35.4G 43.2G  170G  214G│  0   2  97   0   0│  11k  113k┊   0     0 ┊  13k  118k
Jul-08 15:43:29│35.4G 43.2G  170G  214G│  1   2  98   0   0│  18k  155k┊   0     0 ┊  21k  160k
Jul-08 15:43:30│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  138k┊   0     0 ┊  13k  143k
Jul-08 15:43:31│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   16k┊   0     0 ┊9664b   20k
Jul-08 15:43:32│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   28k┊   0     0 ┊  10k   34k
Jul-08 15:43:33│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   40k┊   0     0 ┊9664b   44k
Jul-08 15:43:34│35.4G 43.2G  170G  214G│  0   2  98   0   0│  16k   91k┊   0     0 ┊  19k   97k
Jul-08 15:43:35│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   66k┊   0     0 ┊  11k   70k
Jul-08 15:43:36│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   79k┊   0     0 ┊  13k   84k
Jul-08 15:43:37│35.4G 43.2G  170G  214G│  0   2  98   0   0│  46k  122k┊   0     0 ┊  49k  127k
Jul-08 15:43:38│35.4G 43.2G  170G  214G│  0   2  98   0   0│  42k   36k┊   0     0 ┊  45k   41k
Jul-08 15:43:39│35.4G 43.2G  170G  214G│  0   2  98   0   0│  19k  151k┊   0     0 ┊  21k  155k
Jul-08 15:43:40│35.4G 43.2G  170G  214G│  0   2  98   0   0│  14k  118k┊   0     0 ┊  17k  123k
Jul-08 15:43:41│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  127k┊   0     0 ┊  13k  131k
Jul-08 15:43:42│35.4G 43.2G  170G  214G│  1   3  97   0   0│  28k  124k┊   0     0 ┊  38k  141k
Jul-08 15:43:43│35.4G 43.2G  170G  214G│  0   2  98   0   0│  25k   33k┊   0     0 ┊  27k   37k
Jul-08 15:43:44│35.4G 43.2G  170G  214G│  0   2  97   0   0│  16k   88k┊   0     0 ┊  18k   93k
Jul-08 15:43:45│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   42k┊   0     0 ┊9664b   46k
Jul-08 15:43:46│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   55k┊   0     0 ┊  10k   60k
Jul-08 15:43:47│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   68k┊   0     0 ┊  12k   73k
Jul-08 15:43:48│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   81k┊   0     0 ┊  13k   85k
Jul-08 15:43:49│35.4G 43.2G  170G  214G│  0   2  98   0   0│8960b   67k┊   0     0 ┊  11k   71k
Jul-08 15:43:50│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   92k┊   0     0 ┊  13k   97k
Jul-08 15:43:51│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  105k┊   0     0 ┊  13k  109k
Jul-08 15:43:52│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  117k┊   0     0 ┊  13k  122k
Jul-08 15:43:53│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  129k┊   0     0 ┊  12k  132k
Jul-08 15:43:54│35.4G 43.2G  170G  214G│  0   2  98   0   0│  18k  185k┊   0     0 ┊  20k  189k
Jul-08 15:43:55│35.4G 43.2G  170G  214G│  0   2  97   0   0│7552b   20k┊   0     0 ┊9664b   24k
Jul-08 15:43:56│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   32k┊   0     0 ┊  24k 2235k
Jul-08 15:43:57│35.4G 43.2G  170G  214G│  1   3  97   0   0│  25k   61k┊   0     0 ┊  33k   73k
Jul-08 15:43:58│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   57k┊   0     0 ┊  11k   63k
Jul-08 15:43:59│35.4G 43.2G  170G  214G│  0   2  98   0   0│9856b   70k┊   0     0 ┊  12k   74k
Jul-08 15:44:00│35.4G 43.2G  170G  214G│  0   2  98   0   0│8192b   53k┊   0     0 ┊  11k   59k
Jul-08 15:44:01│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   82k┊   0     0 ┊  13k   86k
Jul-08 15:44:02│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k   95k┊   0     0 ┊  13k  100k
Jul-08 15:44:03│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  107k┊   0     0 ┊  12k  110k
Jul-08 15:44:04│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  119k┊   0     0 ┊  14k  124k
Jul-08 15:44:05│35.4G 43.2G  170G  214G│  0   2  97   0   0│  18k  159k┊   0     0 ┊  19k  162k
Jul-08 15:44:06│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   78k┊   0     0 ┊  12k   83k
Jul-08 15:44:07│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   22k┊   0     0 ┊9664b   26k
Jul-08 15:44:08│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   34k┊   0     0 ┊  11k   40k
Jul-08 15:44:09│35.4G 43.2G  170G  214G│  0   2  98   0   0│7552b   46k┊   0     0 ┊8608b   48k
Jul-08 15:44:10│35.4G 43.2G  170G  214G│  0   2  98   0   0│  16k   95k┊   0     0 ┊  18k  100k
Jul-08 15:44:11│35.4G 43.2G  170G  214G│  0   2  98   0   0│   0   480b┊   0     0 ┊1584b 3312b
Jul-08 15:44:12│35.4G 43.2G  170G  214G│  1   3  97   0   0│  27k   88k┊   0     0 ┊  36k  103k
Jul-08 15:44:13│35.4G 43.2G  170G  214G│  1   2  98   0   0│  11k   85k┊   0     0 ┊  13k   89k
Jul-08 15:44:14│35.4G 43.2G  170G  214G│  0   2  98   0   0│  14k  100k┊   0     0 ┊  17k  106k
Jul-08 15:44:15│35.4G 43.2G  170G  214G│  0   2  98   0   0│  22k  158k┊   0     0 ┊  24k  162k
Jul-08 15:44:16│35.4G 43.2G  170G  214G│  0   2  97   0   0│  11k  120k┊   0     0 ┊  13k  126k
Jul-08 15:44:17│35.4G 43.2G  170G  214G│  0   2  98   0   0│  11k  134k┊   0     0 ┊  12k  137k
Jul-08 15:44:18│35.4G 43.2G  170G  214G│  0   2  98   0   0│9088b   79k┊   0     0 ┊  11k   85k
