name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:41.981, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:42.986, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:43.992, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:44.999, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:46.006, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:47.011, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:48.017, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:49.023, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:50.028, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:51.033, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.79 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:52.039, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:53.044, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:54.049, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:55.054, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:56.059, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:57.064, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:58.068, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:42:59.071, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:00.075, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:01.079, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:02.083, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:03.087, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:04.091, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:05.095, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:06.099, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:07.103, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:08.107, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:09.111, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:10.114, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:11.118, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:12.122, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.89 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:13.128, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:14.134, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:15.139, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:16.144, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:17.150, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:18.156, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:19.162, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.09 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:20.168, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:21.173, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.00 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:22.179, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:23.185, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.90 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:24.191, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:25.197, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:26.202, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.71 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:27.208, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:28.214, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:29.218, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:30.222, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.80 W
NVIDIA A100-PCIE-40GB, 2024/07/08 15:43:31.226, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.71 W
