15:42:41             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
15:42:43             ib0                 rdma                8583.00             427.00              17167.10            69.12
15:42:43             ib0                 ipoib               8583.00             427.00              17234.16            56.45
15:42:43             ib0                 all                 8583.00             427.00              17234.16            69.12 

15:42:44             ib0                 rdma                0                   1.00                0                   .08
15:42:44             ib0                 ipoib               0                   1.00                0                   .05
15:42:44             ib0                 all                 0                   1.00                0                   .08 

15:42:45             ib0                 rdma                0                   1.00                0                   .08
15:42:45             ib0                 ipoib               0                   1.00                0                   .05
15:42:45             ib0                 all                 0                   1.00                0                   .08 

15:42:46             ib0                 rdma                0                   1.00                0                   .08
15:42:46             ib0                 ipoib               0                   1.00                0                   .05
15:42:46             ib0                 all                 0                   1.00                0                   .08 

15:42:47             ib0                 rdma                8.00                12.00               1.49                4.02
15:42:47             ib0                 ipoib               8.00                12.00               1.55                3.67
15:42:47             ib0                 all                 8.00                12.00               1.55                4.02 

15:42:48             ib0                 rdma                0                   1.00                0                   .08
15:42:48             ib0                 ipoib               0                   1.00                0                   .05
15:42:48             ib0                 all                 0                   1.00                0                   .08 

15:42:49             ib0                 rdma                0                   1.00                0                   .08
15:42:49             ib0                 ipoib               0                   1.00                0                   .05
15:42:49             ib0                 all                 0                   1.00                0                   .08 

15:42:50             ib0                 rdma                0                   1.00                0                   .08
15:42:50             ib0                 ipoib               0                   1.00                0                   .05
15:42:50             ib0                 all                 0                   1.00                0                   .08 

15:42:51             ib0                 rdma                0                   1.00                0                   .08
15:42:51             ib0                 ipoib               0                   1.00                0                   .05
15:42:51             ib0                 all                 0                   1.00                0                   .08 

15:42:52             ib0                 rdma                5.00                7.00                .96                 3.92
15:42:52             ib0                 ipoib               5.00                7.00                1.00                3.71
15:42:52             ib0                 all                 5.00                7.00                1.00                3.92 

15:42:54             ib0                 rdma                0                   1.00                0                   .08
15:42:54             ib0                 ipoib               0                   1.00                0                   .05
15:42:54             ib0                 all                 0                   1.00                0                   .08 

15:42:55             ib0                 rdma                0                   1.00                0                   .08
15:42:55             ib0                 ipoib               0                   1.00                0                   .05
15:42:55             ib0                 all                 0                   1.00                0                   .08 

15:42:56             ib0                 rdma                0                   1.00                0                   .08
15:42:56             ib0                 ipoib               0                   1.00                0                   .05
15:42:56             ib0                 all                 0                   1.00                0                   .08 

15:42:57             ib0                 rdma                17.00               27.00               1.98                2.81
15:42:57             ib0                 ipoib               17.00               27.00               2.12                2.04
15:42:57             ib0                 all                 17.00               27.00               2.12                2.81 

15:42:58             ib0                 rdma                5.00                9.00                .96                 5.19
15:42:58             ib0                 ipoib               5.00                9.00                1.00                4.92
15:42:58             ib0                 all                 5.00                9.00                1.00                5.19 

15:42:59             ib0                 rdma                0                   1.00                0                   .08
15:42:59             ib0                 ipoib               0                   1.00                0                   .05
15:42:59             ib0                 all                 0                   1.00                0                   .08 

15:43:00             ib0                 rdma                0                   1.00                0                   .08
15:43:00             ib0                 ipoib               0                   1.00                0                   .05
15:43:00             ib0                 all                 0                   1.00                0                   .08 

15:43:01             ib0                 rdma                0                   1.00                0                   .08
15:43:01             ib0                 ipoib               0                   1.00                0                   .05
15:43:01             ib0                 all                 0                   1.00                0                   .08 

15:43:02             ib0                 rdma                6.00                9.00                1.04                6.29
15:43:02             ib0                 ipoib               6.00                9.00                1.09                6.03
15:43:02             ib0                 all                 6.00                9.00                1.09                6.29 

15:43:03             ib0                 rdma                0                   1.00                0                   .08
15:43:03             ib0                 ipoib               0                   1.00                0                   .05
15:43:03             ib0                 all                 0                   1.00                0                   .08 

15:43:05             ib0                 rdma                0                   1.00                0                   .08
15:43:05             ib0                 ipoib               0                   1.00                0                   .05
15:43:05             ib0                 all                 0                   1.00                0                   .08 

15:43:06             ib0                 rdma                0                   1.00                0                   .08
15:43:06             ib0                 ipoib               0                   1.00                0                   .05
15:43:06             ib0                 all                 0                   1.00                0                   .08 

