# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 0.748702 2.599910 8.038273 0.374351 0.061250 0.212598 -nan -nan -nan
1025 10 1.361094 4.441096 14.392719 0.374351 0.086864 0.351137 0.205556 0.000133 -nan
2049 10 1.617677 5.810208 17.910716 0.374351 0.192660 0.475199 0.207716 0.000127 0.005274
3073 10 1.898315 7.093125 21.264340 0.374351 0.253465 0.590351 0.211894 0.000121 0.008899
4097 10 2.228065 8.258775 25.084023 0.374351 0.311486 0.679222 0.219341 0.000114 0.015403
5121 10 2.565833 8.989436 28.255232 0.374351 0.288545 0.721875 0.236039 0.000101 0.033037
6145 10 2.916630 9.581782 32.205212 0.374351 0.337656 0.766644 0.257254 0.000089 0.048823
7169 10 3.206289 10.194174 35.355373 0.374351 0.365832 0.795265 0.277079 0.000079 0.057971
8193 10 3.543054 11.110257 38.983621 0.374351 0.394786 0.844489 0.290495 0.000074 0.059509
9217 10 3.835720 11.667524 42.392370 0.374351 0.448353 0.891931 0.305007 0.000068 0.062549
10241 10 4.124376 12.205747 45.527497 0.374351 0.475971 0.907745 0.319683 0.000064 0.065990
11265 10 4.388977 12.884290 48.615517 0.374351 0.525083 0.953627 0.331548 0.000060 0.067252
12289 10 4.637542 13.527752 51.383810 0.374351 0.556487 0.996281 0.341579 0.000057 0.067567
13313 10 4.981324 14.094040 55.254610 0.374351 0.604597 1.043500 0.352359 0.000055 0.068815
14337 10 5.162736 14.507981 57.358392 0.374351 0.636781 1.079026 0.363236 0.000052 0.070420
15361 10 5.428340 15.034177 60.312107 0.374351 0.669856 1.126690 0.373618 0.000050 0.071871
16385 10 5.739047 15.627526 63.697804 0.374351 0.700815 1.163552 0.383215 0.000048 0.072951
17409 10 5.969571 16.137686 66.530242 0.374351 0.759393 1.213779 0.392125 0.000047 0.073755
18433 10 6.133944 16.684930 68.332339 0.374351 0.776989 1.255207 0.399375 0.000045 0.073694
19457 10 6.466701 17.209121 71.798218 0.374351 0.792357 1.297749 0.407137 0.000044 0.074161
20481 10 6.766382 17.908712 75.113755 0.374351 0.827771 1.353988 0.413271 0.000043 0.073832
21505 10 7.001917 18.737596 77.893073 0.374351 0.874878 1.433170 0.416409 0.000043 0.072415
22529 10 7.218410 19.494316 80.353667 0.374351 0.907730 1.505335 0.417685 0.000043 0.070749
23553 10 7.424879 20.222973 82.730069 0.374351 0.942364 1.576832 0.417660 0.000043 0.069123
24577 10 7.821781 21.103975 86.654992 0.374351 0.937464 1.652561 0.416922 0.000043 0.067633
25601 10 7.897954 21.952905 88.093261 0.374351 1.012635 1.732522 0.413436 0.000043 0.066904
26625 10 8.024241 22.734683 89.622738 0.374351 1.042258 1.807916 0.408660 0.000044 0.066906
27649 10 8.233718 23.476369 91.872854 0.374351 1.059520 1.868388 0.403763 0.000044 0.067072
28673 10 8.514356 24.256141 94.715315 0.374351 1.063529 1.923848 0.399030 0.000045 0.067224
29697 10 8.550438 25.003841 95.607343 0.374351 1.122552 1.994120 0.393040 0.000045 0.068310
30721 10 8.702784 25.678374 97.394406 0.374351 1.151841 2.043678 0.387287 0.000046 0.069268
31745 10 8.935313 26.281746 100.028393 0.374351 1.186141 2.091566 0.382719 0.000046 0.069483
32769 10 9.133764 26.929218 102.404796 0.374351 1.229684 2.206273 0.378676 0.000047 0.069460
33793 10 9.219960 27.597738 104.042519 0.374351 1.315880 2.199034 0.374295 0.000047 0.069699
34817 10 9.368297 28.233182 105.830584 0.374351 1.349735 2.246921 0.370206 0.000048 0.069822
35841 10 9.545700 28.827533 108.351314 0.374351 1.432701 2.293918 0.366780 0.000048 0.069643
36865 10 9.753172 29.504071 110.614459 0.374351 1.453638 2.346483 0.363640 0.000048 0.069378
37889 10 9.871441 30.209675 112.402523 0.374351 1.520902 2.405841 0.360118 0.000048 0.069360
38913 10 9.966657 30.777967 113.786670 0.374351 1.568900 2.456958 0.356885 0.000049 0.069238
39937 10 10.182147 31.422432 116.685259 0.374351 1.651532 2.502841 0.354140 0.000049 0.068929
40961 10 10.348525 32.088947 118.609634 0.374351 1.680487 2.552510 0.351466 0.000049 0.068631
41985 10 10.536954 32.746442 120.916879 0.374351 1.727483 2.615209 0.349015 0.000049 0.068279
43009 10 10.640188 33.361841 122.275969 0.374351 1.763787 2.669778 0.346557 0.000049 0.067968
44033 10 10.886749 33.969222 125.039250 0.374351 1.796863 2.715216 0.344815 0.000050 0.067427
45057 10 11.013036 34.653778 127.062851 0.374351 1.881388 2.761767 0.342789 0.000050 0.067016
46081 10 11.271624 35.361387 129.771007 0.374351 1.894974 2.824577 0.341017 0.000050 0.066547
47105 10 11.293674 35.921660 130.430506 0.374351 1.943752 2.873467 0.339075 0.000050 0.066169
48129 10 11.445018 36.551091 132.239619 0.374351 1.976605 2.920686 0.337251 0.000050 0.065777
49153 10 11.578321 37.199565 134.432604 0.374351 2.072155 2.969019 0.335377 0.000050 0.065432
50177 10 11.786795 37.875101 136.579485 0.374351 2.079060 3.027486 0.333665 0.000050 0.065053
51201 10 11.904061 38.503530 138.115978 0.374351 2.119485 3.077601 0.331918 0.000050 0.064712
52225 10 12.049392 39.168040 140.164635 0.374351 2.185635 3.151436 0.330113 0.000050 0.064418
53249 10 12.320007 39.784442 143.010103 0.374351 2.201115 3.175937 0.328946 0.000051 0.063936
54273 10 12.527479 40.471002 145.859581 0.374351 2.287199 3.235963 0.327832 0.000051 0.063461
55297 10 12.674814 41.079385 147.488283 0.374351 2.304461 3.283962 0.326838 0.000051 0.062975
56321 10 12.766021 41.698793 148.564731 0.374351 2.322725 3.331849 0.325699 0.000051 0.062546
57345 10 12.990531 42.357290 151.541498 0.374351 2.404021 3.375839 0.324782 0.000051 0.062078
58369 10 13.149894 43.042849 153.427786 0.374351 2.436539 3.439429 0.323730 0.000051 0.061661
59393 10 13.265156 43.681300 155.403277 0.374351 2.527969 3.489655 0.322569 0.000051 0.061292
60417 10 13.446568 44.247588 156.841546 0.374351 2.486207 3.539547 0.321798 0.000051 0.060839
61441 10 13.652035 44.928135 159.614851 0.374351 2.566056 3.585653 0.321070 0.000051 0.060393
62465 10 13.850486 45.592645 162.030342 0.374351 2.613942 3.646458 0.320411 0.000051 0.059948
63489 10 13.998823 46.193010 163.954716 0.374351 2.662943 3.692230 0.319864 0.000051 0.059497
64513 10 14.060965 46.843489 164.584147 0.374351 2.663833 3.744683 0.318968 0.000051 0.059131
65537 10 11.890029 73.959130 156.538858 0.374351 4.182063 6.922736 0.224097 0.000055 0.398851
66561 10 11.949164 74.483322 157.646376 0.374351 4.239415 6.974521 0.136369 0.000060 0.540000
67585 10 12.121556 75.558767 159.836354 0.374351 4.291200 7.084217 0.053891 0.000063 0.638860
68609 10 12.206749 76.093984 161.217494 0.374351 4.350000 7.130657 -0.022267 0.000067 0.711752
69633 10 12.296955 76.748471 162.746971 0.374351 4.419714 7.187453 -0.092895 0.000070 0.768287
70657 10 12.410212 77.363870 164.108065 0.374351 4.445105 7.245364 -0.158179 0.000073 0.812774
71681 10 12.464335 77.936171 164.989068 0.374351 4.482857 7.298819 -0.218532 0.000075 0.848211
72705 10 12.596636 78.481411 166.621779 0.374351 4.517269 7.357509 -0.273971 0.000077 0.876183
73729 10 12.649757 79.174988 168.093124 0.374351 4.621729 7.400719 -0.325492 0.000080 0.898934
74753 10 12.690850 79.697175 168.760642 0.374351 4.650238 7.459521 -0.372890 0.000081 0.916925
75777 10 12.763014 80.058997 169.724834 0.374351 4.677188 7.499278 -0.415892 0.000083 0.930495
76801 10 12.902331 80.839772 171.623149 0.374351 4.733316 7.560530 -0.455779 0.000085 0.941274
77825 10 13.008572 81.509294 173.272899 0.374351 4.798575 7.635033 -0.492531 0.000086 0.949518
78849 10 13.039643 81.837039 173.858230 0.374351 4.829089 7.654968 -0.525618 0.000087 0.955092
79873 10 13.199005 82.530616 175.804655 0.374351 4.868289 7.720563 -0.555921 0.000089 0.958875
80897 10 13.239096 83.035764 176.714724 0.374351 4.924862 7.763216 -0.583432 0.000090 0.961027
81921 10 13.382422 83.682234 179.250488 0.374351 5.047363 7.837497 -0.608429 0.000091 0.961863
82945 10 13.410486 84.225469 180.029259 0.374351 5.102711 7.873802 -0.631099 0.000091 0.961604
83969 10 13.601921 85.283875 182.715365 0.374351 5.188462 7.984389 -0.652497 0.000092 0.960854
84993 10 13.669074 85.725880 183.730673 0.374351 5.226659 8.032499 -0.671436 0.000093 0.959106
86017 10 13.768299 86.382372 185.239102 0.374351 5.284012 8.086846 -0.688532 0.000093 0.956720
87041 10 13.856500 86.924605 186.380697 0.374351 5.312855 8.130612 -0.703638 0.000094 0.953708
88065 10 13.962741 87.643238 187.868078 0.374351 5.360074 8.197321 -0.717268 0.000094 0.950310
89089 10 14.029894 88.272669 188.989628 0.374351 5.410076 8.264920 -0.729387 0.000095 0.946557
90113 10 14.136136 88.703649 190.698513 0.374351 5.481906 8.303007 -0.739512 0.000095 0.942369
91137 10 14.179233 89.394219 191.316919 0.374351 5.502732 8.362699 -0.748537 0.000096 0.938021
92161 10 14.249393 89.924424 192.371316 0.374351 5.541932 8.421278 -0.756083 0.000096 0.933462
93185 10 14.358641 90.563878 194.019061 0.374351 5.603628 8.483420 -0.762404 0.000096 0.928779
94209 10 14.447844 91.233400 195.623709 0.374351 5.682808 8.530082 -0.767687 0.000096 0.924028
95233 10 14.542058 91.513036 196.828448 0.374351 5.711985 8.572736 -0.771091 0.000096 0.919147
96257 10 14.635270 92.091350 197.956011 0.374351 5.733701 8.630089 -0.773409 0.000096 0.914265
97281 10 14.736500 92.606521 199.578700 0.374351 5.801522 8.678422 -0.774546 0.000096 0.909407
98305 10 14.872810 93.423378 202.256788 0.374351 5.947632 8.741901 -0.775165 0.000096 0.904613
99329 10 14.912901 93.932536 203.036561 0.374351 5.989727 8.785779 -0.774831 0.000096 0.899891
100353 10 15.123380 95.109211 205.724672 0.374351 6.054542 8.904606 -0.774684 0.000096 0.895241
101377 10 15.168482 95.551216 206.623715 0.374351 6.104321 8.952271 -0.773485 0.000096 0.890682
102401 10 15.223608 96.228756 207.881575 0.374351 6.182833 9.017309 -0.771778 0.000096 0.886216
103425 10 15.379963 96.791034 209.622533 0.374351 6.202545 9.048825 -0.769135 0.000096 0.881878
104449 10 15.486205 97.540738 211.039754 0.374351 6.241968 9.124888 -0.766110 0.000096 0.877642
105473 10 15.607480 97.948666 212.703537 0.374351 6.292081 9.174892 -0.761983 0.000096 0.873592
106497 10 15.635544 98.525978 213.707820 0.374351 6.372487 9.218659 -0.757361 0.000096 0.869676
107521 10 15.786888 99.216548 215.384632 0.374351 6.390639 9.283808 -0.752251 0.000096 0.865900
108545 10 15.846023 99.713678 216.315748 0.374351 6.428391 9.343834 -0.746480 0.000096 0.862303
