name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:50.966, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 4 %, 40960 MiB, 0 %, 36.84 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:51.972, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:52.976, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.57 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:53.980, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:54.984, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:55.988, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:56.992, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:57.998, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:10:59.005, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:00.012, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:01.018, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.71 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:02.026, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:03.033, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:04.040, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:05.044, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:06.047, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 6 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:07.051, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:08.055, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 2 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:09.059, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:10.064, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:11.071, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:12.078, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:13.086, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 42.91 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:14.091, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 43.12 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:15.095, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 2 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:16.102, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 35.08 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:17.106, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 4 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:18.110, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:19.114, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 7 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:20.118, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:21.122, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 9 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:22.126, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:23.132, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:24.138, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:25.144, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:26.151, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:27.155, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:28.159, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:29.163, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 8 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:30.167, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.89 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:31.171, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 9 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 23:11:32.175, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 1 %, 40960 MiB, 0 %, 34.99 W
