23:10:50             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
23:10:51             ib0                 rdma                0                   0                   0                   0
23:10:51             ib0                 ipoib               0                   0                   0                   0
23:10:51             ib0                 all                 0                   0                   0                   0 

23:10:52             ib0                 rdma                0                   0                   0                   0
23:10:52             ib0                 ipoib               0                   0                   0                   0
23:10:52             ib0                 all                 0                   0                   0                   0 

23:10:53             ib0                 rdma                11.00               5.00                .92                 .43
23:10:53             ib0                 ipoib               0                   0                   0                   0
23:10:53             ib0                 all                 11.00               5.00                .92                 .43 

23:10:54             ib0                 rdma                0                   0                   0                   0
23:10:54             ib0                 ipoib               0                   0                   0                   0
23:10:54             ib0                 all                 0                   0                   0                   0 

23:10:56             ib0                 rdma                0                   0                   0                   0
23:10:56             ib0                 ipoib               0                   0                   0                   0
23:10:56             ib0                 all                 0                   0                   0                   0 

23:10:57             ib0                 rdma                0                   0                   0                   0
23:10:57             ib0                 ipoib               0                   0                   0                   0
23:10:57             ib0                 all                 0                   0                   0                   0 

23:10:58             ib0                 rdma                0                   0                   0                   0
23:10:58             ib0                 ipoib               0                   0                   0                   0
23:10:58             ib0                 all                 0                   0                   0                   0 

23:10:59             ib0                 rdma                0                   0                   0                   0
23:10:59             ib0                 ipoib               0                   0                   0                   0
23:10:59             ib0                 all                 0                   0                   0                   0 

23:11:01             ib0                 rdma                16.00               16.00               1.03                1.03
23:11:01             ib0                 ipoib               0                   0                   0                   0
23:11:01             ib0                 all                 16.00               16.00               1.03                1.03 

23:11:03             ib0                 rdma                1937.00             1937.00             66.49               54.57
23:11:03             ib0                 ipoib               0                   0                   0                   0
23:11:03             ib0                 all                 1937.00             1937.00             66.49               54.57 

23:11:05             ib0                 rdma                2742.00             2742.00             1738.29             332.64
23:11:05             ib0                 ipoib               0                   0                   0                   0
23:11:05             ib0                 all                 2742.00             2742.00             1738.29             332.64 

23:11:07             ib0                 rdma                3098.00             3098.00             4306.35             688.05
23:11:07             ib0                 ipoib               0                   0                   0                   0
23:11:07             ib0                 all                 3098.00             3098.00             4306.35             688.05 

23:11:08             ib0                 rdma                3095.00             3095.00             6886.25             1036.97
23:11:08             ib0                 ipoib               0                   0                   0                   0
23:11:08             ib0                 all                 3095.00             3095.00             6886.25             1036.97 

23:11:10             ib0                 rdma                4538.00             3331.00             9503.08             1393.51
23:11:10             ib0                 ipoib               0                   0                   0                   0
23:11:10             ib0                 all                 4538.00             3331.00             9503.08             1393.51 

23:11:12             ib0                 rdma                5726.00             3443.00             12080.86            1735.10
23:11:12             ib0                 ipoib               0                   0                   0                   0
23:11:12             ib0                 all                 5726.00             3443.00             12080.86            1735.10 

23:11:14             ib0                 rdma                5716.00             3438.00             14472.57            2066.96
23:11:14             ib0                 ipoib               0                   0                   0                   0
23:11:14             ib0                 all                 5716.00             3438.00             14472.57            2066.96 

