name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2023/06/19 16:23:56.328, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 4 %, 40960 MiB, 0 %, 36.65 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:23:57.333, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:23:58.338, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:23:59.344, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:00.351, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:01.357, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:02.361, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:03.366, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.08 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:04.370, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.08 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:05.374, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.08 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:06.378, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.51 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:07.382, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.33 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:08.387, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.31 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:09.392, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.32 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:10.396, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.22 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:11.400, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.21 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:12.404, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.32 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:13.410, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.21 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:14.415, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.22 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:15.419, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.32 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:16.423, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.22 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:17.427, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.21 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:18.432, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.11 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:19.439, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.11 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:20.443, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.61 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:21.448, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 37.93 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:22.452, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 37.93 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:23.456, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.11 W
NVIDIA A100-PCIE-40GB, 2023/06/19 16:24:24.460, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.11 W
