16:23:54             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
16:23:56             ib0                 rdma                0                   0                   0                   0
16:23:56             ib0                 ipoib               0                   0                   0                   0
16:23:56             ib0                 all                 0                   0                   0                   0 

16:23:57             ib0                 rdma                0                   0                   0                   0
16:23:57             ib0                 ipoib               0                   0                   0                   0
16:23:57             ib0                 all                 0                   0                   0                   0 

16:23:59             ib0                 rdma                11.00               4.00                .99                 .32
16:23:59             ib0                 ipoib               0                   0                   0                   0
16:23:59             ib0                 all                 11.00               4.00                .99                 .32 

16:24:00             ib0                 rdma                0                   0                   0                   0
16:24:00             ib0                 ipoib               0                   0                   0                   0
16:24:00             ib0                 all                 0                   0                   0                   0 

16:24:01             ib0                 rdma                0                   0                   0                   0
16:24:01             ib0                 ipoib               0                   0                   0                   0
16:24:01             ib0                 all                 0                   0                   0                   0 

16:24:02             ib0                 rdma                0                   0                   0                   0
16:24:02             ib0                 ipoib               0                   0                   0                   0
16:24:02             ib0                 all                 0                   0                   0                   0 

16:24:03             ib0                 rdma                0                   0                   0                   0
16:24:03             ib0                 ipoib               0                   0                   0                   0
16:24:03             ib0                 all                 0                   0                   0                   0 

16:24:04             ib0                 rdma                0                   0                   0                   0
16:24:04             ib0                 ipoib               0                   0                   0                   0
16:24:04             ib0                 all                 0                   0                   0                   0 

16:24:05             ib0                 rdma                47693.00            60250.00            15846.29            108999.56
16:24:05             ib0                 ipoib               0                   0                   0                   0
16:24:05             ib0                 all                 47693.00            60250.00            15846.29            108999.56 

16:24:07             ib0                 rdma                182450.00           337127.00           117371.51           874869.58
16:24:07             ib0                 ipoib               0                   0                   0                   0
16:24:07             ib0                 all                 182450.00           337127.00           117371.51           874869.58 

16:24:08             ib0                 rdma                266619.00           503617.00           179100.17           1352733.07
16:24:08             ib0                 ipoib               0                   0                   0                   0
16:24:08             ib0                 all                 266619.00           503617.00           179100.17           1352733.07 

16:24:09             ib0                 rdma                282645.00           603216.00           235435.69           1776118.46
16:24:09             ib0                 ipoib               0                   0                   0                   0
16:24:09             ib0                 all                 282645.00           603216.00           235435.69           1776118.46 

16:24:11             ib0                 rdma                283498.00           690068.00           284940.08           2156814.64
16:24:11             ib0                 ipoib               0                   0                   0                   0
16:24:11             ib0                 all                 283498.00           690068.00           284940.08           2156814.64 

16:24:12             ib0                 rdma                294576.00           796499.00           335459.17           2591085.29
16:24:12             ib0                 ipoib               0                   0                   0                   0
16:24:12             ib0                 all                 294576.00           796499.00           335459.17           2591085.29 

16:24:13             ib0                 rdma                294748.00           864319.00           374807.29           2891566.12
16:24:13             ib0                 ipoib               0                   0                   0                   0
16:24:13             ib0                 all                 294748.00           864319.00           374807.29           2891566.12 

16:24:15             ib0                 rdma                305775.00           956707.00           427172.05           3266816.66
16:24:15             ib0                 ipoib               0                   0                   0                   0
16:24:15             ib0                 all                 305775.00           956707.00           427172.05           3266816.66 

16:24:16             ib0                 rdma                299301.00           991411.00           450220.48           3435454.46
16:24:16             ib0                 ipoib               0                   0                   0                   0
16:24:16             ib0                 all                 299301.00           991411.00           450220.48           3435454.46 

16:24:17             ib0                 rdma                307217.00           1079417.00          483476.16           3791186.42
16:24:17             ib0                 ipoib               0                   0                   0                   0
16:24:17             ib0                 all                 307217.00           1079417.00          483476.16           3791186.42 

16:24:19             ib0                 rdma                308847.00           1132026.00          511997.72           4019309.78
16:24:19             ib0                 ipoib               0                   0                   0                   0
16:24:19             ib0                 all                 308847.00           1132026.00          511997.72           4019309.78 

16:24:20             ib0                 rdma                315077.00           1195127.00          548837.75           4280027.35
16:24:20             ib0                 ipoib               0                   0                   0                   0
16:24:20             ib0                 all                 315077.00           1195127.00          548837.75           4280027.35 

16:24:22             ib0                 rdma                316982.00           1229526.00          581669.84           4434767.05
16:24:22             ib0                 ipoib               0                   0                   0                   0
16:24:22             ib0                 all                 316982.00           1229526.00          581669.84           4434767.05 

16:24:23             ib0                 rdma                310214.00           1244522.00          586397.37           4519297.99
16:24:23             ib0                 ipoib               0                   0                   0                   0
16:24:23             ib0                 all                 310214.00           1244522.00          586397.37           4519297.99 

16:24:24             ib0                 rdma                252770.00           1057110.00          483339.46           3876806.63
16:24:24             ib0                 ipoib               0                   0                   0                   0
16:24:24             ib0                 all                 252770.00           1057110.00          483339.46           3876806.63 

