14:05:52             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
14:05:55             ib0                 rdma                0                   0                   0                   0
14:05:55             ib0                 ipoib               0                   0                   0                   0
14:05:55             ib0                 all                 0                   0                   0                   0 

14:05:56             ib0                 rdma                0                   0                   0                   0
14:05:56             ib0                 ipoib               0                   0                   0                   0
14:05:56             ib0                 all                 0                   0                   0                   0 

14:05:58             ib0                 rdma                43.00               37.00               4.71                4.42
14:05:58             ib0                 ipoib               28.00               31.00               3.84                2.93
14:05:58             ib0                 all                 43.00               37.00               4.71                4.42 

14:06:00             ib0                 rdma                15.00               13.00               4.02                2.21
14:06:00             ib0                 ipoib               15.00               13.00               4.14                1.83
14:06:00             ib0                 all                 15.00               13.00               4.14                2.21 

14:06:01             ib0                 rdma                0                   0                   0                   0
14:06:01             ib0                 ipoib               0                   0                   0                   0
14:06:01             ib0                 all                 0                   0                   0                   0 

14:06:02             ib0                 rdma                0                   0                   0                   0
14:06:02             ib0                 ipoib               0                   0                   0                   0
14:06:02             ib0                 all                 0                   0                   0                   0 

14:06:03             ib0                 rdma                0                   0                   0                   0
14:06:03             ib0                 ipoib               0                   0                   0                   0
14:06:03             ib0                 all                 0                   0                   0                   0 

14:06:04             ib0                 rdma                0                   0                   0                   0
14:06:04             ib0                 ipoib               0                   0                   0                   0
14:06:04             ib0                 all                 0                   0                   0                   0 

14:06:05             ib0                 rdma                0                   0                   0                   0
14:06:05             ib0                 ipoib               0                   0                   0                   0
14:06:05             ib0                 all                 0                   0                   0                   0 

14:06:07             ib0                 rdma                0                   0                   0                   0
14:06:07             ib0                 ipoib               0                   0                   0                   0
14:06:07             ib0                 all                 0                   0                   0                   0 

14:06:08             ib0                 rdma                0                   0                   0                   0
14:06:08             ib0                 ipoib               0                   0                   0                   0
14:06:08             ib0                 all                 0                   0                   0                   0 

14:06:10             ib0                 rdma                63.00               63.00               7.83                7.85
14:06:10             ib0                 ipoib               46.00               46.00               7.11                5.41
14:06:10             ib0                 all                 63.00               63.00               7.83                7.85 

14:06:12             ib0                 rdma                1797.00             1797.00             85.80               72.14
14:06:12             ib0                 ipoib               0                   0                   0                   0
14:06:12             ib0                 all                 1797.00             1797.00             85.80               72.14 

14:06:14             ib0                 rdma                1014.00             1014.00             48.61               40.50
14:06:14             ib0                 ipoib               0                   0                   0                   0
14:06:14             ib0                 all                 1014.00             1014.00             48.61               40.50 

14:06:17             ib0                 rdma                870.00              870.00              41.52               34.30
14:06:17             ib0                 ipoib               0                   0                   0                   0
14:06:17             ib0                 all                 870.00              870.00              41.52               34.30 

14:06:19             ib0                 rdma                827.00              826.00              94.78               88.39
14:06:19             ib0                 ipoib               0                   0                   0                   0
14:06:19             ib0                 all                 827.00              826.00              94.78               88.39 

14:06:21             ib0                 rdma                2891.00             4295.00             908.17              6551.55
14:06:21             ib0                 ipoib               0                   0                   0                   0
14:06:21             ib0                 all                 2891.00             4295.00             908.17              6551.55 

14:06:23             ib0                 rdma                1876.00             2843.00             499.86              4398.72
14:06:23             ib0                 ipoib               0                   0                   0                   0
14:06:23             ib0                 all                 1876.00             2843.00             499.86              4398.72 

14:06:26             ib0                 rdma                1551.00             2325.00             414.80              3525.25
14:06:26             ib0                 ipoib               0                   0                   0                   0
14:06:26             ib0                 all                 1551.00             2325.00             414.80              3525.25 

14:06:28             ib0                 rdma                1243.00             1336.00             1398.72             1760.48
14:06:28             ib0                 ipoib               2.00                2.00                .19                 .11
14:06:28             ib0                 all                 1243.00             1336.00             1398.72             1760.48 

14:06:30             ib0                 rdma                3410.00             5001.00             1074.21             9588.75
14:06:30             ib0                 ipoib               0                   0                   0                   0
14:06:30             ib0                 all                 3410.00             5001.00             1074.21             9588.75 

14:06:32             ib0                 rdma                1283.00             1880.00             406.93              3613.96
14:06:32             ib0                 ipoib               0                   0                   0                   0
14:06:32             ib0                 all                 1283.00             1880.00             406.93              3613.96 

14:06:34             ib0                 rdma                1277.00             1868.00             406.76              3581.56
14:06:34             ib0                 ipoib               0                   0                   0                   0
14:06:34             ib0                 all                 1277.00             1868.00             406.76              3581.56 

14:06:36             ib0                 rdma                1194.00             1742.00             387.14              3305.28
14:06:36             ib0                 ipoib               0                   0                   0                   0
14:06:36             ib0                 all                 1194.00             1742.00             387.14              3305.28 

14:06:38             ib0                 rdma                1206.00             1756.00             387.65              3321.78
14:06:38             ib0                 ipoib               0                   0                   0                   0
14:06:38             ib0                 all                 1206.00             1756.00             387.65              3321.78 

14:06:41             ib0                 rdma                1176.00             1718.00             370.43              3256.50
14:06:41             ib0                 ipoib               0                   0                   0                   0
14:06:41             ib0                 all                 1176.00             1718.00             370.43              3256.50 

14:06:43             ib0                 rdma                1404.00             1594.00             1572.30             2582.52
14:06:43             ib0                 ipoib               0                   0                   0                   0
14:06:43             ib0                 all                 1404.00             1594.00             1572.30             2582.52 

14:06:45             ib0                 rdma                5288.00             8645.00             1987.88             18178.81
14:06:45             ib0                 ipoib               0                   0                   0                   0
14:06:45             ib0                 all                 5288.00             8645.00             1987.88             18178.81 

14:06:47             ib0                 rdma                1614.00             2636.00             616.71              5555.85
14:06:47             ib0                 ipoib               0                   0                   0                   0
14:06:47             ib0                 all                 1614.00             2636.00             616.71              5555.85 

14:06:49             ib0                 rdma                1582.00             2596.00             591.53              5482.54
14:06:49             ib0                 ipoib               0                   0                   0                   0
14:06:49             ib0                 all                 1582.00             2596.00             591.53              5482.54 

14:06:51             ib0                 rdma                1454.00             2396.00             538.46              5020.08
14:06:51             ib0                 ipoib               0                   0                   0                   0
14:06:51             ib0                 all                 1454.00             2396.00             538.46              5020.08 

