┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:35:44│36.9G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:35:46│37.0G 52.2G  154G  212G│  0   2  98   0   0│   0     0 ┊  20k   30k┊   0     0 ┊  31k   30k
Jun-07 16:35:46│37.0G 52.2G  154G  212G│  0   2  98   0   0│   0     0 ┊ 118k  213k┊ 193k  193k┊ 121k  213k
Jun-07 16:35:47│37.1G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊  26k   52k┊  31k   31k┊  30k   52k
Jun-07 16:35:48│37.1G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊6592b   33k┊   0     0 ┊  13k   33k
Jun-07 16:35:49│37.1G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊6992b   19k┊   0     0 ┊  11k   19k
Jun-07 16:35:50│37.0G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊6592b   44k┊   0     0 ┊  16k   44k
Jun-07 16:35:51│37.0G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊8704b   58k┊   0     0 ┊  18k   58k
Jun-07 16:35:52│37.0G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊8704b   70k┊   0     0 ┊  11k   70k
Jun-07 16:35:53│37.0G 52.2G  154G  212G│  0   0 100   0   0│   0     0 ┊8704b   82k┊   0     0 ┊  16k   82k
Jun-07 16:35:54│37.0G 52.2G  154G  212G│  1   0  99   0   0│   0     0 ┊  11k   74k┊   0     0 ┊  21k   74k
Jun-07 16:35:55│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊4352b   48k┊   0     0 ┊  12k   48k
Jun-07 16:35:56│37.1G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊8704b  107k┊   0     0 ┊  20k  107k
Jun-07 16:35:57│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0   528b┊   0     0 ┊8640b  528b
Jun-07 16:35:58│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊8704b  120k┊   0     0 ┊  18k  120k
Jun-07 16:35:59│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊7680b    0 
Jun-07 16:36:00│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊  16k  170k┊   0     0 ┊  27k  170k
Jun-07 16:36:01│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊8032b    0 
Jun-07 16:36:02│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊8176b  110k┊   0     0 ┊  13k  110k
Jun-07 16:36:03│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊  11k    0 
Jun-07 16:36:04│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊6592b   20k┊   0     0 ┊  12k   20k
Jun-07 16:36:05│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊6992b   49k┊   0     0 ┊  21k   49k
Jun-07 16:36:06│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊6592b   32k┊   0     0 ┊  13k   32k
Jun-07 16:36:07│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊9064b    0 
Jun-07 16:36:08│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊6592b   44k┊   0     0 ┊  16k   44k
Jun-07 16:36:09│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊6720b    0 
Jun-07 16:36:10│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊  16k  118k┊   0     0 ┊  23k  118k
Jun-07 16:36:11│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊  12k    0 
Jun-07 16:36:12│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊8704b   70k┊   0     0 ┊  21k   70k
Jun-07 16:36:13│37.0G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊   0     0 ┊   0     0 ┊6720b    0 
Jun-07 16:36:14│37.1G 52.2G  154G  212G│  2   1  98   0   0│   0     0 ┊8704b   82k┊   0     0 ┊  17k   82k
Jun-07 16:36:15│37.1G 52.2G  154G  212G│  2   1  97   0   0│   0     0 ┊6992b   70k┊   0     0 ┊  17k   70k
Jun-07 16:36:16│37.1G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊8704b   93k┊   0     0 ┊  16k   93k
Jun-07 16:36:17│37.1G 52.2G  154G  212G│  2   0  98   0   0│   0     0 ┊5888b  136k┊   0     0 ┊  14k  136k
Jun-07 16:36:18│37.0G 52.3G  154G  212G│  1   0  99   0   0│   0     0 ┊  39k  143k┊5592b 5592b┊  55k  143k
