name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:46.916, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 4 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:47.923, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:48.929, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.88 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:49.933, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:50.937, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.89 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:51.941, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:52.945, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.98 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:53.949, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.99 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:54.953, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.89 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:55.957, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 34.89 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:56.961, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.21 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:57.969, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 32.92 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:58.978, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.02 W
NVIDIA A100-PCIE-40GB, 2023/06/07 16:35:59.982, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 32.92 W
