15:03:50             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
15:03:53             ens786f1            rdma                11.00               5.00                1.55                .62
15:03:53             ens786f1            ipoib               0                   0                   0                   0
15:03:53             ens786f1            all                 11.00               5.00                1.55                .62 

15:03:54             ens786f1            rdma                0                   0                   0                   0
15:03:54             ens786f1            ipoib               0                   0                   0                   0
15:03:54             ens786f1            all                 0                   0                   0                   0 

15:03:55             ens786f1            rdma                0                   0                   0                   0
15:03:55             ens786f1            ipoib               0                   0                   0                   0
15:03:55             ens786f1            all                 0                   0                   0                   0 

15:03:56             ens786f1            rdma                0                   0                   0                   0
15:03:56             ens786f1            ipoib               0                   0                   0                   0
15:03:56             ens786f1            all                 0                   0                   0                   0 

15:03:57             ens786f1            rdma                0                   0                   0                   0
15:03:57             ens786f1            ipoib               0                   0                   0                   0
15:03:57             ens786f1            all                 0                   0                   0                   0 

15:03:59             ens786f1            rdma                0                   0                   0                   0
15:03:59             ens786f1            ipoib               0                   0                   0                   0
15:03:59             ens786f1            all                 0                   0                   0                   0 

15:04:00             ens786f1            rdma                0                   0                   0                   0
15:04:00             ens786f1            ipoib               0                   0                   0                   0
15:04:00             ens786f1            all                 0                   0                   0                   0 

15:04:01             ens786f1            rdma                0                   0                   0                   0
15:04:01             ens786f1            ipoib               0                   0                   0                   0
15:04:01             ens786f1            all                 0                   0                   0                   0 

15:04:03             ens786f1            rdma                155425.00           61184.00            121035.73           19196.39
15:04:03             ens786f1            ipoib               0                   0                   0                   0
15:04:03             ens786f1            all                 155425.00           61184.00            121035.73           19196.39 

15:04:05             ens786f1            rdma                1251443.00          328449.00           1216220.83          169993.33
15:04:05             ens786f1            ipoib               0                   0                   0                   0
15:04:05             ens786f1            all                 1251443.00          328449.00           1216220.83          169993.33 

15:04:06             ens786f1            rdma                1547084.00          390265.00           1486714.77          204692.44
15:04:06             ens786f1            ipoib               0                   0                   0                   0
15:04:06             ens786f1            all                 1547084.00          390265.00           1486714.77          204692.44 

