15:44:49             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
15:44:52             ib0                 rdma                0                   0                   0                   0
15:44:52             ib0                 ipoib               0                   0                   0                   0
15:44:52             ib0                 all                 0                   0                   0                   0 

15:44:53             ib0                 rdma                0                   0                   0                   0
15:44:53             ib0                 ipoib               0                   0                   0                   0
15:44:53             ib0                 all                 0                   0                   0                   0 

15:44:54             ib0                 rdma                0                   0                   0                   0
15:44:54             ib0                 ipoib               0                   0                   0                   0
15:44:54             ib0                 all                 0                   0                   0                   0 

15:44:55             ib0                 rdma                0                   0                   0                   0
15:44:55             ib0                 ipoib               0                   0                   0                   0
15:44:55             ib0                 all                 0                   0                   0                   0 

15:44:56             ib0                 rdma                0                   0                   0                   0
15:44:56             ib0                 ipoib               0                   0                   0                   0
15:44:56             ib0                 all                 0                   0                   0                   0 

15:44:57             ib0                 rdma                0                   0                   0                   0
15:44:57             ib0                 ipoib               0                   0                   0                   0
15:44:57             ib0                 all                 0                   0                   0                   0 

