┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:14:29│37.0G 52.2G  154G  212G│  0   2  98   0   0│   0     0 ┊  17k   27k┊9520b 9520b┊  25k   27k
Jun-07 16:14:29│37.0G 52.2G  154G  212G│  0   2  98   0   0│   0     0 ┊ 112k  208k┊ 185k  185k┊ 118k  208k
Jun-07 16:14:30│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊  34k   59k┊  22k   22k┊  39k   59k
Jun-07 16:14:31│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊6592b   33k┊   0     0 ┊  16k   33k
Jun-07 16:14:32│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊6592b   44k┊   0     0 ┊  13k   44k
Jun-07 16:14:33│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊6992b   19k┊   0     0 ┊  14k   19k
Jun-07 16:14:34│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊  11k   59k┊   0     0 ┊  20k   59k
Jun-07 16:14:35│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊3571k   17M┊  16k   16k┊3577k   17M
Jun-07 16:14:36│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊9723k   64M┊  14k   14k┊9730k   64M
Jun-07 16:14:37│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  27M  184M┊  28k   28k┊  27M  184M
Jun-07 16:14:38│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  37M  264M┊  28k   28k┊  37M  264M
Jun-07 16:14:39│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  54M  397M┊  28k   28k┊  54M  397M
Jun-07 16:14:40│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  59M  421M┊  42k   42k┊  59M  421M
Jun-07 16:14:41│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  59M  425M┊  28k   28k┊  59M  425M
Jun-07 16:14:42│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  74M  574M┊  14k   14k┊  74M  574M
Jun-07 16:14:43│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  85M  607M┊  28k   28k┊  85M  607M
Jun-07 16:14:44│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  62M  481M┊  14k   14k┊  62M  481M
Jun-07 16:14:45│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊  73M  579M┊  14k   14k┊  73M  579M
Jun-07 16:14:46│37.0G 52.3G  154G  212G│  2   0  98   0   0│   0     0 ┊ 115M  837M┊  28k   28k┊ 115M  837M
Jun-07 16:14:47│37.0G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  54M  359M┊  14k   14k┊  54M  359M
Jun-07 16:14:48│37.0G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  14M  124M┊   0     0 ┊  14M  124M
Jun-07 16:14:49│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  10M   89M┊   0     0 ┊  10M   89M
Jun-07 16:14:50│37.0G 52.2G  154G  212G│  1   1  98   0   0│   0     0 ┊  10M   89M┊   0     0 ┊  10M   89M
Jun-07 16:14:51│37.0G 52.3G  154G  212G│  1   2  97   0   0│   0     0 ┊  10M   90M┊   0     0 ┊  10M   90M
Jun-07 16:14:52│37.0G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  41M  217M┊  14k   14k┊  41M  217M
Jun-07 16:14:53│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  11M   96M┊   0     0 ┊  11M   96M
Jun-07 16:14:54│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  10M   92M┊   0     0 ┊  10M   92M
Jun-07 16:14:55│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  11M   96M┊   0     0 ┊  11M   96M
Jun-07 16:14:56│37.0G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  28M  101M┊  12k   12k┊  28M  101M
