16:14:27             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
16:14:30             ib0                 rdma                0                   0                   0                   0
16:14:30             ib0                 ipoib               0                   0                   0                   0
16:14:30             ib0                 all                 0                   0                   0                   0 

16:14:31             ib0                 rdma                0                   0                   0                   0
16:14:31             ib0                 ipoib               0                   0                   0                   0
16:14:31             ib0                 all                 0                   0                   0                   0 

16:14:32             ib0                 rdma                0                   0                   0                   0
16:14:32             ib0                 ipoib               0                   0                   0                   0
16:14:32             ib0                 all                 0                   0                   0                   0 

16:14:33             ib0                 rdma                0                   0                   0                   0
16:14:33             ib0                 ipoib               0                   0                   0                   0
16:14:33             ib0                 all                 0                   0                   0                   0 

16:14:34             ib0                 rdma                0                   0                   0                   0
16:14:34             ib0                 ipoib               0                   0                   0                   0
16:14:34             ib0                 all                 0                   0                   0                   0 

16:14:36             ib0                 rdma                0                   0                   0                   0
16:14:36             ib0                 ipoib               0                   0                   0                   0
16:14:36             ib0                 all                 0                   0                   0                   0 

16:14:38             ib0                 rdma                0                   0                   0                   0
16:14:38             ib0                 ipoib               0                   0                   0                   0
16:14:38             ib0                 all                 0                   0                   0                   0 

16:14:39             ib0                 rdma                0                   0                   0                   0
16:14:39             ib0                 ipoib               0                   0                   0                   0
16:14:39             ib0                 all                 0                   0                   0                   0 

16:14:41             ib0                 rdma                0                   0                   0                   0
16:14:41             ib0                 ipoib               0                   0                   0                   0
16:14:41             ib0                 all                 0                   0                   0                   0 

16:14:43             ib0                 rdma                0                   0                   0                   0
16:14:43             ib0                 ipoib               0                   0                   0                   0
16:14:43             ib0                 all                 0                   0                   0                   0 

16:14:45             ib0                 rdma                0                   0                   0                   0
16:14:45             ib0                 ipoib               0                   0                   0                   0
16:14:45             ib0                 all                 0                   0                   0                   0 

16:14:46             ib0                 rdma                0                   0                   0                   0
16:14:46             ib0                 ipoib               0                   0                   0                   0
16:14:46             ib0                 all                 0                   0                   0                   0 

16:14:48             ib0                 rdma                0                   0                   0                   0
16:14:48             ib0                 ipoib               0                   0                   0                   0
16:14:48             ib0                 all                 0                   0                   0                   0 

16:14:50             ib0                 rdma                0                   0                   0                   0
16:14:50             ib0                 ipoib               0                   0                   0                   0
16:14:50             ib0                 all                 0                   0                   0                   0 

16:14:52             ib0                 rdma                0                   0                   0                   0
16:14:52             ib0                 ipoib               0                   0                   0                   0
16:14:52             ib0                 all                 0                   0                   0                   0 

16:14:54             ib0                 rdma                0                   0                   0                   0
16:14:54             ib0                 ipoib               0                   0                   0                   0
16:14:54             ib0                 all                 0                   0                   0                   0 

16:14:56             ib0                 rdma                0                   0                   0                   0
16:14:56             ib0                 ipoib               0                   0                   0                   0
16:14:56             ib0                 all                 0                   0                   0                   0 

16:14:58             ib0                 rdma                0                   0                   0                   0
16:14:58             ib0                 ipoib               0                   0                   0                   0
16:14:58             ib0                 all                 0                   0                   0                   0 

16:15:00             ib0                 rdma                0                   0                   0                   0
16:15:00             ib0                 ipoib               0                   0                   0                   0
16:15:00             ib0                 all                 0                   0                   0                   0 

16:15:01             ib0                 rdma                0                   0                   0                   0
16:15:01             ib0                 ipoib               0                   0                   0                   0
16:15:01             ib0                 all                 0                   0                   0                   0 

16:15:03             ib0                 rdma                0                   0                   0                   0
16:15:03             ib0                 ipoib               0                   0                   0                   0
16:15:03             ib0                 all                 0                   0                   0                   0 

16:15:05             ib0                 rdma                0                   0                   0                   0
16:15:05             ib0                 ipoib               0                   0                   0                   0
16:15:05             ib0                 all                 0                   0                   0                   0 

16:15:07             ib0                 rdma                0                   0                   0                   0
16:15:07             ib0                 ipoib               0                   0                   0                   0
16:15:07             ib0                 all                 0                   0                   0                   0 

16:15:09             ib0                 rdma                0                   0                   0                   0
16:15:09             ib0                 ipoib               0                   0                   0                   0
16:15:09             ib0                 all                 0                   0                   0                   0 

16:15:11             ib0                 rdma                0                   0                   0                   0
16:15:11             ib0                 ipoib               0                   0                   0                   0
16:15:11             ib0                 all                 0                   0                   0                   0 

16:15:13             ib0                 rdma                0                   0                   0                   0
16:15:13             ib0                 ipoib               0                   0                   0                   0
16:15:13             ib0                 all                 0                   0                   0                   0 

16:15:14             ib0                 rdma                0                   0                   0                   0
16:15:15             ib0                 ipoib               0                   0                   0                   0
16:15:15             ib0                 all                 0                   0                   0                   0 

16:15:16             ib0                 rdma                0                   0                   0                   0
16:15:16             ib0                 ipoib               0                   0                   0                   0
16:15:16             ib0                 all                 0                   0                   0                   0 

16:15:18             ib0                 rdma                0                   0                   0                   0
16:15:18             ib0                 ipoib               0                   0                   0                   0
16:15:18             ib0                 all                 0                   0                   0                   0 

16:15:20             ib0                 rdma                0                   0                   0                   0
16:15:20             ib0                 ipoib               0                   0                   0                   0
16:15:20             ib0                 all                 0                   0                   0                   0 

16:15:22             ib0                 rdma                0                   0                   0                   0
16:15:22             ib0                 ipoib               0                   0                   0                   0
16:15:22             ib0                 all                 0                   0                   0                   0 

16:15:24             ib0                 rdma                0                   0                   0                   0
16:15:24             ib0                 ipoib               0                   0                   0                   0
16:15:24             ib0                 all                 0                   0                   0                   0 

16:15:26             ib0                 rdma                0                   0                   0                   0
16:15:26             ib0                 ipoib               0                   0                   0                   0
16:15:26             ib0                 all                 0                   0                   0                   0 

16:15:28             ib0                 rdma                0                   0                   0                   0
16:15:28             ib0                 ipoib               0                   0                   0                   0
16:15:28             ib0                 all                 0                   0                   0                   0 

16:15:29             ib0                 rdma                0                   0                   0                   0
16:15:29             ib0                 ipoib               0                   0                   0                   0
16:15:29             ib0                 all                 0                   0                   0                   0 

16:15:31             ib0                 rdma                0                   0                   0                   0
16:15:31             ib0                 ipoib               0                   0                   0                   0
16:15:31             ib0                 all                 0                   0                   0                   0 

16:15:33             ib0                 rdma                0                   0                   0                   0
16:15:33             ib0                 ipoib               0                   0                   0                   0
16:15:33             ib0                 all                 0                   0                   0                   0 

16:15:35             ib0                 rdma                0                   0                   0                   0
16:15:35             ib0                 ipoib               0                   0                   0                   0
16:15:35             ib0                 all                 0                   0                   0                   0 

16:15:37             ib0                 rdma                0                   0                   0                   0
16:15:37             ib0                 ipoib               0                   0                   0                   0
16:15:37             ib0                 all                 0                   0                   0                   0 

16:15:39             ib0                 rdma                0                   0                   0                   0
16:15:39             ib0                 ipoib               0                   0                   0                   0
16:15:39             ib0                 all                 0                   0                   0                   0 

16:15:41             ib0                 rdma                0                   0                   0                   0
