name, timestamp, uuid, utilization.gpu [%], memory.total [MiB], utilization.memory [%], power.draw [W]
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:11.598, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:12.604, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 53.36 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:13.607, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 53.26 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:14.611, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:15.614, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:16.619, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:17.625, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.38 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:18.632, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:19.639, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.28 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:20.646, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:21.653, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 35.18 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:22.660, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.51 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:23.664, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.42 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:24.668, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.40 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:25.673, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.42 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:26.677, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.42 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:27.683, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.31 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:28.688, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.42 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:29.692, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.32 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:30.696, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.42 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:31.701, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.31 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:32.707, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.31 W
NVIDIA A100-PCIE-40GB, 2023/06/11 15:46:33.711, GPU-19aad27d-53fb-dfa9-de70-73d639bcad94, 0 %, 40960 MiB, 0 %, 33.31 W
