15:46:11             IFACE               Protocol            rxpck/s             txpck/s             rxkB/s              txkB/s
15:46:12             ib0                 rdma                5.00                5.00                .48                 .48
15:46:12             ib0                 ipoib               5.00                5.00                .52                 .33
15:46:12             ib0                 all                 5.00                5.00                .52                 .48 

15:46:13             ib0                 rdma                0                   0                   0                   0
15:46:13             ib0                 ipoib               0                   0                   0                   0
15:46:13             ib0                 all                 0                   0                   0                   0 

15:46:14             ib0                 rdma                0                   0                   0                   0
15:46:14             ib0                 ipoib               0                   0                   0                   0
15:46:14             ib0                 all                 0                   0                   0                   0 

15:46:15             ib0                 rdma                0                   0                   0                   0
15:46:15             ib0                 ipoib               0                   0                   0                   0
15:46:15             ib0                 all                 0                   0                   0                   0 

15:46:16             ib0                 rdma                0                   0                   0                   0
15:46:16             ib0                 ipoib               0                   0                   0                   0
15:46:16             ib0                 all                 0                   0                   0                   0 

15:46:17             ib0                 rdma                2.00                2.00                .17                 .17
15:46:17             ib0                 ipoib               2.00                2.00                .19                 .11
15:46:17             ib0                 all                 2.00                2.00                .19                 .17 

15:46:19             ib0                 rdma                0                   0                   0                   0
15:46:19             ib0                 ipoib               0                   0                   0                   0
15:46:19             ib0                 all                 0                   0                   0                   0 

15:46:21             ib0                 rdma                2740.00             2741.00             76.40               76.53
15:46:21             ib0                 ipoib               14.00               15.00               1.95                1.51
15:46:21             ib0                 all                 2740.00             2741.00             76.40               76.53 

15:46:22             ib0                 rdma                1126.00             1126.00             30.78               30.78
15:46:22             ib0                 ipoib               0                   0                   0                   0
15:46:22             ib0                 all                 1126.00             1126.00             30.78               30.78 

15:46:24             ib0                 rdma                1812.00             1812.00             54.29               56.19
15:46:24             ib0                 ipoib               81.00               81.00               7.59                6.09
15:46:24             ib0                 all                 1812.00             1812.00             54.29               56.19 

15:46:25             ib0                 rdma                2894.00             2894.00             1371.29             746.95
15:46:25             ib0                 ipoib               71.00               71.00               6.65                5.33
15:46:25             ib0                 all                 2894.00             2894.00             1371.29             746.95 

15:46:27             ib0                 rdma                1377.00             1377.00             1179.71             271.73
15:46:27             ib0                 ipoib               1.00                1.00                .09                 .07
15:46:27             ib0                 all                 1377.00             1377.00             1179.71             271.73 

15:46:28             ib0                 rdma                1130.00             1130.00             968.89              222.89
15:46:29             ib0                 ipoib               0                   0                   0                   0
15:46:29             ib0                 all                 1130.00             1130.00             968.89              222.89 

15:46:30             ib0                 rdma                2970.00             2970.00             2395.82             1380.66
15:46:30             ib0                 ipoib               164.00              164.00              15.37               12.33
15:46:30             ib0                 all                 2970.00             2970.00             2395.82             1380.66 

15:46:32             ib0                 rdma                2102.00             2102.00             3497.53             819.55
15:46:32             ib0                 ipoib               1.00                1.00                .09                 .07
15:46:32             ib0                 all                 2102.00             2102.00             3497.53             819.55 

15:46:33             ib0                 rdma                1105.00             1105.00             1854.21             416.21
15:46:33             ib0                 ipoib               0                   0                   0                   0
15:46:33             ib0                 all                 1105.00             1105.00             1854.21             416.21 

15:46:35             ib0                 rdma                2728.00             2728.00             4283.84             964.34
15:46:35             ib0                 ipoib               192.00              192.00              18.00               14.43
15:46:35             ib0                 all                 2728.00             2728.00             4283.84             964.34 

15:46:36             ib0                 rdma                2537.00             2537.00             6312.42             1434.45
15:46:36             ib0                 ipoib               1.00                1.00                .09                 .07
15:46:36             ib0                 all                 2537.00             2537.00             6312.42             1434.45 

15:46:38             ib0                 rdma                1098.00             1098.00             2778.02             576.02
15:46:38             ib0                 ipoib               0                   0                   0                   0
15:46:38             ib0                 all                 1098.00             1098.00             2778.02             576.02 

15:46:40             ib0                 rdma                2286.00             2286.00             5386.59             1201.82
15:46:40             ib0                 ipoib               138.00              138.00              12.93               10.37
15:46:40             ib0                 all                 2286.00             2286.00             5386.59             1201.82 

15:46:41             ib0                 rdma                5114.00             5114.00             8131.25             3366.92
15:46:41             ib0                 ipoib               14.00               14.00               1.31                1.05
15:46:41             ib0                 all                 5114.00             5114.00             8131.25             3366.92 

15:46:43             ib0                 rdma                2132.00             2132.00             3838.60             841.53
15:46:43             ib0                 ipoib               0                   0                   0                   0
15:46:43             ib0                 all                 2132.00             2132.00             3838.60             841.53 

15:46:44             ib0                 rdma                3166.00             3166.00             5505.37             1231.19
15:46:44             ib0                 ipoib               70.00               70.00               6.56                5.26
15:46:44             ib0                 all                 3166.00             3166.00             5505.37             1231.19 

